#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
#Asia;;;;;;;;;;;;;;x
1948_war_arab_minors_title;The War in Palestine;;;;;;;;;;;;;x
1948_war_arab_minors_desc;In the 19th century, Jews began to settle in Ottoman-controlled Palestine with the long-term goal of creating a Jewish state that would be sanctuary for Jews from around the world. After the Ottoman Empire collapsed during the Great War, Britain assumed mandate power over Palestine. Now the mandate has ended – and the Jewish settlers have proclaimed the so-called 'State of Israel,' which claims more than half of Palestine. The Arabs in Palestine have not accepted this and want to end Israel's existence here and now. We can support them in their fight for freedom by sending weapons and volunteers. A second option is to accept the existence of Israel and recognize them diplomatically, but this step will surely cause riots among our population. Because it will be difficult or even impossible for us to send our forces directly to Palestine, we may also leave the war to the larger Arab states and not intervene in any way.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#EGY;;;;;;;;;;;;;;x
1948_war_EGY_title;The War against Israel;;;;;;;;;;;;;x
1948_war_EGY_desc;In the 19th century, Jews began to settle in Ottoman-controlled Palestine with the long-term goal of creating a Jewish state that would be sanctuary for Jews from around the world. After the Ottoman Empire collapsed during the Great War, Britain assumed mandate power over Palestine. Now the mandate has ended – and the Jewish settlers have proclaimed the so-called 'State of Israel,' which claims more than half of Palestine. The Arabs in Palestine have not accepted this and want to end Israel's existence here and now. Joining them in their cause and going to war with Israel will not be without risk, but it will be difficult to explain to our people why we tolerate the presence of Israel right on our doorstep. Alternatively, we can also support the Arab forces in Palestine with weapons and supplies. A third option is to accept the existence of Israel and recognize them diplomatically, but this action will surely cause riots among our population.;;;;;;;;;;;;;x
1948_war_victory_EGY_title;Victory over Israel!;;;;;;;;;;;;;x
1948_war_victory_EGY_desc;The dream of a Jewish state in Palestine was short-lived. The Israeli forces could not withstand the assault of Arab troops bent on preventing the 'State of Israel' from becoming more than just a fantasy. Now, Palestine and the future of the region is being discussed among the Arab states. We conquered Tel Aviv during the war and made victory possible, so it is up to us to decide what will happen next. One solution would be to give the Arabs of Palestine their own state. Another option is to divide the area between Egypt, Jordan, and Syria and integrate the Palestinians into the respective societies of those countries.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#IRQ;;;;;;;;;;;;;;x
1948_war_IRQ_title;The War against Israel;;;;;;;;;;;;;x
1948_war_IRQ_desc;In the 19th century, Jews began to settle in Ottoman-controlled Palestine with the long-term goal of creating a Jewish state that would be sanctuary for Jews from around the world. After the Ottoman Empire collapsed during the Great War, Britain assumed mandate power over Palestine. Now the mandate has ended – and the Jewish settlers have proclaimed the so-called 'State of Israel,' which claims more than half of Palestine. The Arabs in Palestine have not accepted this and want to end Israel's existence here and now. Joining them in their cause and going to war with Israel will not be without risk, but it will be difficult to explain to our people why we tolerate the presence of Israel right on our doorstep. Alternatively, we can also support the Arab forces in Palestine with weapons and supplies. A third option is to accept the existence of Israel and recognize them diplomatically, but this action will surely cause riots among our population.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#JOR;;;;;;;;;;;;;;x
1948_war_JOR_title;The War against Israel;;;;;;;;;;;;;x
