#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
ratified_the_diplomatic_relations_convention;Ratified the Vienna Convention on Diplomatic Relations;;;;;;;;;;;;;x
diplomatic_relations_convention_delay;Vienna Convention on Diplomatic Relations Delay;;;;;;;;;;;;;x
dec_ratify_diplomatic_relations_convention_title;Ratify the Convention on Diplomatic Relations;;;;;;;;;;;;;x
dec_ratify_diplomatic_relations_convention_desc;Ratify the Vienna Convention on Diplomatic Relations. This treaty specifies the privileges of a diplomatic mission that enable diplomats to perform their function without fear of coercion or harassment by the host country, forming the legal basis for diplomatic immunity. It establishes a set of obligations that signatory host owe to the diplomatic staff of foreign states and will bring some semblance of order and predictability to consular activities.;;;;;;;;;;;;;x
EVTNAME10100;Vienna Convention on Diplomatic Relations;;;;;;;;;;;;;x
EVTDESC10100;We have ratified the Vienna Convention on Diplomatic Relations.;;;;;;;;;;;;x;
EVTOPTA10100;Progress and civility shall prevail.;;;;;;;;;;;;;x
EVTNAME10200;Ratify the Convention on Diplomatic Relations;;;;;;;;;;;;;x
EVTDESC10200;Ratify the Vienna Convention on Diplomatic Relations. This treaty specifies the privileges of a diplomatic mission that enable diplomats to perform their function without fear of coercion or harassment by the host country, forming the legal basis for diplomatic immunity. It establishes a set of obligations that signatory host owe to the diplomatic staff of foreign states and will bring some semblance of order and predictability to consular activities.;;;;;;;;;;;;;x
EVTOPTA10200;OK;;;;;;;;;;;;;x
EVTNAME119000;Vienna Convention on Diplomatic Relations;;;;;;;;;;;;;x
EVTDESC119000;We have ratified the Vienna Convention on Diplomatic Relations. This treaty specifies the privileges of a diplomatic mission that enable diplomats to perform their function without fear of coercion or harassment by the host country, forming the legal basis for diplomatic immunity. It establishes a set of obligations that signatory host owe to the diplomatic staff of foreign states and will bring some semblance of order and predictability to consular activities.;;;;;;;;;;;;;x
EVTOPTA119000;An idea long overdue.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
