#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
Syrian_oilpipeline;Syrian Oil Pipeline Closed;;;;;;;;;;;;;x
KWT_Iraq_money;Financial Support from Kuwait;;;;;;;;;;;;;x
Sau_Iraq_money;Financial Support from Saudi Arabia;;;;;;;;;;;;;x
USA_Iraq_support;Military Support from the USA;;;;;;;;;;;;;x
FRA_Iraq_support;Military Support from France;;;;;;;;;;;;;x
SOV_Iraq_support;Military Support from the USSR;;;;;;;;;;;;;x
KWT_Iraq_cost;Financial Support to Iraq;;;;;;;;;;;;;x
GER_Iraq_support;Military Support from West Germany;;;;;;;;;;;;;x
Iraq_Totalwar;Iran-Iraq Total War;;;;;;;;;;;;;x
Iraqi_rally;Iraqi Religious Rally;;;;;;;;;;;;;x
Iraq_militaryCrisis;Military Crisis;;;;;;;;;;;;;x
revolutionary_disarry;Revolutionary Disarray;;;;;;;;;;;;;x
airforce_topguns;Airforce Top Guns;;;;;;;;;;;;;x
Iran_fights;Iran Fights On;;;;;;;;;;;;;x
fight_kurds;Kurd Revolt Suppression;;;;;;;;;;;;;
ignore_kurds;Kurd Revolt Ignored;;;;;;;;;;;;;x
placate_kurds;Kurd Revolt Placation;;;;;;;;;;;;;
China_Iran_support;Military Support from Communist China;;;;;;;;;;;;;
Tanker_losses;Tanker Losses;;;;;;;;;;;;;x
Fatwa_on_Iraq;Fatwa on Iraq;;;;;;;;;;;;;
Iranian_crisis;Political Crisis;;;;;;;;;;;;;
Iran_Airforce_purge;Airforce Purge;;;;;;;;;;;;;
Iran_militaryCrisis;Military Crisis;;;;;;;;;;;;;
Iran_militaryCrisis_II;Military Crisis;;;;;;;;;;;;;
Iran_Navy_losses;Iran-Iraq War Naval Losses;;;;;;;;;;;;;
Iran_oilrig_losses;Iran-Iraq War Oilrig Losses;;;;;;;;;;;;;
Sau_Iraq_cost;Financial Support to Iraq;;;;;;;;;;;;;
USA_Iraq_cost;Military Support to Iraq;;;;;;;;;;;;;
FRA_Iraq_cost;Military Support to Iraq;;;;;;;;;;;;;
SOV_Iraq_cost;Military Support to Iraq;;;;;;;;;;;;;
GER_Iraq_cost;Military Support to Iraq;;;;;;;;;;;;;
China_Iran_cost;Military Support to Iran;;;;;;;;;;;;;
