CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
EVTNAME354000;Intervention in the Korean War;;;;;;;;;;;;;x
EVTDESC354000;North Korea has invaded the South, and it does not look like the South could throw them back. A military intervention in Korea will worsen our relations with China and the Soviets even more, but it will also show that we do not look away when our help is needed.;;;;;;;;;;;;;x
EVTOPTA354000;We won't leave the Koreans alone;;;;;;;;;;;;;x
EVTOPTB354000;This is too risky;;;;;;;;;;;;;x
EVTNAME354040;Joint Commission on Korea;;;;;;;;;;;;;x
EVTDESC354040;From the Russo-Japanese War in 1905 to the conclusion of World War II forty years later, Korea was ruled by the Empire of Japan. Since the Japanese surrender in September last year, Soviet forces have been occupying the northern half of the peninsula north of the 38th parallel while we have taken over the south. The victorious Allied powers are now faced with the task of setting up a new, independent Korean state. At a conference in Moscow last month, it was agreed that a joint commission made up of representatives of the United States and the Soviet Union should be established to work out recommendations for the formation of a provisional Korean government.;;;;;;;;;;;;;x
EVTOPTA354040;Very well.;;;;;;;;;;;;;x
EVTNAME354041;North Korea declares independence;;;;;;;;;;;;;x
EVTDESC354041;Korean Communists in the Soviet-occupied northern half of the peninsula have declared themselves a sovereign nation, the 'People's Republic of Korea'. We do not know what to make of this yet, whether it is a Russian design or an initiative by the Korean 'people's committees' in the area. In any case, it is not a good development, as the likelihood of establishing a united and democratic Korean state has decreased dramatically. Some of our foreign policy experts suggest that we should create a 'Republic of Korea' in our occupation zone in the south, while others would prefer to maintain our direct supervision for now.;;;;;;;;;;;;;x
EVTOPTA354041;Declare the Republic of Korea.;;;;;;;;;;;;;x
EVTOPTB354041;Maintain military governance.;;;;;;;;;;;;;x
EVTNAME354042;Joint Commission on Korea admits failure;;;;;;;;;;;;;x
EVTDESC354042;The joint US-Soviet commission on the future of Korea has been working for over a year with no tangible results. Due to the ideological differences between our two nations and with the Soviets making many unreasonable demands, the representatives on the commission have not been able to agree on much of anything. It is time to resign ourselves to the fact that the commission has failed.;;;;;;;;;;;;;x
EVTOPTA354042;The communists are to blame.;;;;;;;;;;;;;x
EVTNAME354045;Leftists in southern Korea;;;;;;;;;;;;;x
EVTDESC354045;Ever since moving their troops into Korea in August 1945, the Soviets have been instigating the formation of 'people's committees' in their occupation zone in the north. Recently, such left-wing groups have been popping up in our half of the peninsula as well. Our foreign policy advisors are concerned that this could lead to an eventual Communist takeover of all of Korea. They urge for a firm crackdown on all left-wing groups in south Korea, or at least for a ban of openly Communist organizations. However, such actions could lead to revolts among the peasantry and are not without risk.;;;;;;;;;;;;;x
EVTOPTA354045;Widespread crackdown.;;;;;;;;;;;;;x
EVTOPTB354045;Ban communist-aligned organisations.;;;;;;;;;;;;;x
EVTOPTC354045;Do nothing.;;;;;;;;;;;;;x
EVTNAME354046;UN-supervised elections in Korea;;;;;;;;;;;;;x
EVTDESC354046;After the failure of the joint US-Soviet commission to agree on suggestions for the formation of a Korean government, we have used our influence at the United Nations to bring a fresh impulse into the process. The UN have called for elections to be held in Korea under their supervision. It remains to be seen how the Soviets will react to this.;;;;;;;;;;;;;x
EVTOPTA354046;Very well.;;;;;;;;;;;;;x
EVTNAME354047;USSR boycotts UN Korean Elections;;;;;;;;;;;;;x
EVTDESC354047;The USSR has declared that it will boycott the UN-supervised elections in its occupation zone in Korea. It is currently unclear whether there will be any elections held in the northern half of the peninsula, and if elections are held, they will not be supervised by the United Nations.;;;;;;;;;;;;;x
EVTOPTA354047;This was to be expected.;;;;;;;;;;;;;x
EVTNAME354048;Jeju rebellion;;;;;;;;;;;;;x
EVTDESC354048;The people of the south Korean island of Jeju have long had a strained relationship with the mainlanders. After a recent government crackdown against left-wing groups, the tensions once again escalated into open violence. Left-wing rebels were attacking police stations and fighting with right-wing paramilitary groups in the streets. Eventually, with some reinforcements from the mainland, local police and military forces managed to quell the rebellion. It is being reported that they proceeded with vicious brutality.;;;;;;;;;;;;;x
EVTOPTA354048;Unfortunate.;;;;;;;;;;;;;x
EVTNAME354049;Elections in South Korea;;;;;;;;;;;;;x
EVTDESC354049;Our United Nations initiative has come to fruition. After careful preparations, elections for a constitutional assembly will be held in Korea under the supervision of the UN. It is hoped that this will pave the way for the transition of power to a free and independent Korean government.;;;;;;;;;;;;;x
EVTOPTA354049;Good news.;;;;;;;;;;;;;x
EVTNAME326000;Support for the Unification of Korea;;;;;;;;;;;;;x
