#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
military_purge_political;Political Military Purge;;;;;;;;;;;;;x
military_purge_operational;Operational Military Purge;;;;;;;;;;;;;x
corrupt_general_exposed;Corrupt General Exposed;;;;;;;;;;;;;x
military_incompetence_punished;Military Incompetence Punished;;;;;;;;;;;;;x
insubordinate_general_deposed;Insubordinate General Deposed;;;;;;;;;;;;;x
treasonous_general_exposed;Treasonous General Exposed;;;;;;;;;;;;;x
recruitment_drive;Recruitment Drive;;;;;;;;;;;;;x
military_morale_increases;Military Morale Increases;;;;;;;;;;;;;x
public_distrust_military;Public Distrust of Military;;;;;;;;;;;;;x
notorious_general_deposed;Notorious General Deposed;;;;;;;;;;;;;x
loyal_officers_rewarded;Loyal Officers Rewarded;;;;;;;;;;;;;x
old_guard_retirement;Old Guard Retirement;;;;;;;;;;;;;x
military_witchhunt;Military Witch Hunt;;;;;;;;;;;;;x
military_purge_delay;Military Purge Delay;;;;;;;;;;;;;x
dec_military_purge_title;Military Purge;;;;;;;;;;;;;x
dec_military_purge_desc;Embark on a thorough reorganisation of our military and purge any undesireable elements, whether political or operational.;;;;;;;;;;;;;x
EVTNAME2001;Military Purge;;;;;;;;;;;;;x
EVTDESC2001;In order to ultimately strengthen our nation, it is a necessary evil to purge our military of undesirable elements that undermine our nation and the ideals it stands for. Ideas are more powerful than arms, and just as we would not let our enemies bear arms against us, neither should we allow them to harbor subversive ideas. It's best to act swiftly and without mercy, but what should we focus on during this process?;;;;;;;;;;;;;x
EVTOPTA2001;Political Focus;;;;;;;;;;;;;x
EVTOPTB2001;Operational Focus;;;;;;;;;;;;;x
EVTNAME2002;Corrupt General Exposed;;;;;;;;;;;;;x
EVTDESC2002;Our interior security reports that one of our high ranking military officials has been engaged in corrupt conduct. The agency, along with the office of the interior minister, has also implicated a network of people that aided the high-ranking officer in his crimes against our nation. All of the culprits have been arrested and will face a court-martial.;;;;;;;;;;;;;x
EVTOPTA2002;Excellent;;;;;;;;;;;;;x
EVTNAME2003;Military Incompetence Punished;;;;;;;;;;;;;x
EVTDESC2003;Direct orders have been carried out in a manner that makes the failures of certain individuals in the general staff apparent. We need to get rid of all doubt and the tendency of some to believe that a problem can be solved by reapplying an earlier failed solution. The incompetent fools have done enough damage!;;;;;;;;;;;;;x
EVTOPTA2003;Sack them;;;;;;;;;;;;;x
EVTNAME2004;Insubordinate General Deposed;;;;;;;;;;;;;x
EVTDESC2004;Disturbing news has arrived about an insubordinate general who is spreading disloyalty among the general staff. 'There is nothing so disobedient as an undisciplined mind,' as the saying goes, and this cannot be tolerated. It's time to teach them all the lesson that none are here to serve themselves: rather they are here to serve only the nation.;;;;;;;;;;;;;x
EVTOPTA2004;Sack them;;;;;;;;;;;;;x
EVTNAME2005;Treasonous General Exposed;;;;;;;;;;;;;x
