#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
flag_monarchyGovernment_royalBonds_immediate;Royal Bonds;;;;;;;;;;;;;x
flag_monarchyGovernment_royalBlackmail;Royal Blackmail;;;;;;;;;;;;;x
flag_monarchyGovernment_royalCharity;Royal Charity;;;;;;;;;;;;;x
mod_monarchyGovernment_royalBaby;Royal Baby;;;;;;;;;;;;;x
mod_monarchyGovernment_royalMarriage_delay;Royal Marriage Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalBonds_delay;Royal Bonds Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalNegotiation_delay;Royal Negotiation Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalStability_delay;Royal Stability Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalCelebration_delay;Royal Celebration Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalTourism;Royal Tourism Boost;;;;;;;;;;;;;x
mod_monarchyGovernment_royalActivism;Royal Activism;;;;;;;;;;;;;x
mod_monarchyGovernment_royalStrategy_delay;Royal Strategy Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalEditorial_delay;Royal Editorial Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalNepotism_delay;Royal Nepotism Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalTitles;Sale of Royal Titles;;;;;;;;;;;;;x
mod_monarchyGovernment_royalTitles_delay;Royal Titles Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalTax_delay;Royal Tax Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalTax;Royal Tax Loopholes;;;;;;;;;;;;;x
mod_monarchyGovernment_royalEmbarressment_delay;Royal Embarressment Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalGaffe_delay;Royal Gaffe Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalDivorce_delay;Royal Divorce Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalWealth_delay;Royal Wealth Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalBlackmail_delay;Royal Blackmail Delay;;;;;;;;;;;;;x
mod_monarchyGovernment_royalFued;Royal Fued;;;;;;;;;;;;;x
mod_monarchyGovernment_royalHealth_delay;Royal Health Delays;;;;;;;;;;;;;x
mod_monarchyGovernment_royalHealth;Royal Health Concerns;;;;;;;;;;;;;x
mod_monarchyGovernment_royalCharity_delay;Royal Charity Delay;;;;;;;;;;;;;x
