#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
dec_join_nato;We have begun the process of joining NATO;;;;;;;;;;;;;x
EVTNAME700145;Joining the NATO;;;;;;;;;;;;;x
EVTDESC700145;We have begun the process of joining the NATO as a member state. Whether we are permitted into the organisation at this time or not will depend on the opinions held by theNATO's Permanent Members.\nThrough the NATO we hope to gain a voice on the international diplomatic stage, shape the creation of new international law, and benefit from the collective security the organisation provides.\n;;;;;;;;;;;;;x
EVTOPTA700145;Okay;;;;;;;;;;;;;x
EVTNAME700146;A New NATO Member?;;;;;;;;;;;;;x
EVTDESC700146;$FROMCOUNTRY$ has begun the process of joining the NATO as a member state. As a NATO Permanent Member we have the option of vetoing this application but doing so would come at the cost of some of our international prestige.;;;;;;;;;;;;;x
EVTOPTA700146;Veto;;;;;;;;;;;;;x
EVTOPTB700146;Don't Veto;;;;;;;;;;;;;x
EVTNAME700147;NATO Application Vetoed;;;;;;;;;;;;;x
EVTDESC700147;$FROMCOUNTRY$, that is a NATO Permanent Member state has chosen to veto our current application to the NATO. We will be able to attempt this process again in two years time.;;;;;;;;;;;;;x
EVTOPTA700147;Unfortunate;;;;;;;;;;;;;x
EVTNAME700148;NATO Application Progresses;;;;;;;;;;;;;x
EVTDESC700148;None of the NATOPermanent Member states have chosen to veto our application to the NATO and thus our membership application will now move forward through the NATO's legal processes by being forwarded to the Secretary General.;;;;;;;;;;;;;x
EVTOPTA700148;Good things take time.;;;;;;;;;;;;;x
EVTNAME700149;Admitted to the NATO;;;;;;;;;;;;;x
EVTDESC700149;We have recieved word that the NATO Security Council has formally accepted our application to join the NATO as a member state. We can now fully participate in the organisation.;;;;;;;;;;;;;x
EVTOPTA700149;Good news;;;;;;;;;;;;;x
EVTNAME700150;NATO Membership Application;;;;;;;;;;;;;x
EVTDESC700150;$FROMCOUNTRY$ has begun the process of joining the NATO, and has not had its application vetoed by any of the NATO's Permanent Members.\nAs the current Secretary General of the NATO we will now progress this application through the relevant legal processes, although we may have the option of fast-tracking it.;;;;;;;;;;;;;x
EVTOPTA700150;Fast track the process;;;;;;;;;;;;;x
EVTOPTB700150;Let the process run its course;;;;;;;;;;;;;x
EVTNAME700159;Intervencion de la OTAN contra un pais hostil al equilibrio mundial;Intervencion de la OTAN contra un pais hostil al equilibrio mundial;Intervencion de la OTAN contra un pais hostil al equilibrio mundial;Intervencion de la OTAN contra un pais hostil al equilibrio mundial;Intervencion de la OTAN contra un pais hostil al equilibrio mundial;Intervencion de la OTAN contra un pais hostil al equilibrio mundial;Intervencion de la OTAN contra un pais hostil al equilibrio mundial;Intervencion de la OTAN contra un pais hostil al equilibrio mundial;Intervencion de la OTAN contra un pais hostil al equilibrio mundial;Intervencion de la OTAN contra un pais hostil al equilibrio mundial;;;;
EVTDESC700159;La OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;;;;
EVTOPTA700159;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;;;;x
EVTOPTB700159;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;;;;x
EVTNAME700160;Nuestra Coalición,La OTAN, aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;;;;
EVTDESC700160;el enemigo que atacó a la zona de defensa de nuestra Coalición ha sido vencido;el enemigo que atacó a la zona de defensa dla OTAN ha sido vencido;el enemigo que atacó a la zona de defensa dla OTAN ha sido vencido;el enemigo que atacó a la zona de defensa dla OTAN ha sido vencido;el enemigo que atacó a la zona de defensa dla OTAN ha sido vencido;el enemigo que atacó a la zona de defensa dla OTAN ha sido vencido;el enemigo que atacó a la zona de defensa dla OTAN ha sido vencido;el enemigo que atacó a la zona de defensa dla OTAN ha sido vencido;el enemigo que atacó a la zona de defensa dla OTAN ha sido vencido;el enemigo que atacó a la zona de defensa dla OTAN ha sido vencido;;;;
EVTOPTA700160;Okay;Okay;Okay;Okay;Okay;Okay;Okay;Okay;Okay;Okay;;;;
EVTNAME700161;la OTAN en defensa de sus aliados;la OTAN en defensa de sus aliados;la OTAN en defensa de sus aliados;la OTAN en defensa de sus aliados;la OTAN en defensa de sus aliados;la OTAN en defensa de sus aliados;la OTAN en defensa de sus aliados;la OTAN en defensa de sus aliados;la OTAN en defensa de sus aliados;la OTAN en defensa de sus aliados;;;;
EVTDESC700161;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;la OTAN  nos conmina al cese de hostilidades;;;;
EVTOPTA700161;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;Acatemos la Resolucion;;;;
EVTOPTB700161;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;No,sigamos con la guerra;;;;
EVTNAME700162;Nuestros aliados de la OTAN viene en nuestra defensa;Nuestros aliados dla OTAN viene en nuestra defensa;Nuestros aliados dla OTAN viene en nuestra defensa;Nuestros aliados dla OTAN viene en nuestra defensa;Nuestros aliados dla OTAN viene en nuestra defensa;Nuestros aliados dla OTAN viene en nuestra defensa;Nuestros aliados dla OTAN viene en nuestra defensa;Nuestros aliados dla OTAN viene en nuestra defensa;Nuestros aliados dla OTAN viene en nuestra defensa;Nuestros aliados dla OTAN viene en nuestra defensa;;;;x
EVTDESC700162;Nuestros aliados estan preparandose para intervenir a nuestro lado;Nuestros aliados estan preparandose para intervenir a nuestro lado;Nuestros aliados estan preparandose para intervenir a nuestro lado;Nuestros aliados estan preparandose para intervenir a nuestro lado;Nuestros aliados estan preparandose para intervenir a nuestro lado;Nuestros aliados estan preparandose para intervenir a nuestro lado;Nuestros aliados estan preparandose para intervenir a nuestro lado;Nuestros aliados estan preparandose para intervenir a nuestro lado;Nuestros aliados estan preparandose para intervenir a nuestro lado;Nuestros aliados estan preparandose para intervenir a nuestro lado;;;;x
EVTOPTA700162;Okay;Okay;Okay;Okay;Okay;Okay;Okay;Okay;Okay;Okay;;;;x
EVTNAME700163;la OTAN aplasta a su enemigo  $FROMCOUNTRY$;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;la OTAN aplasta al enemigo;;;;x
