#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
establish_moral_police_title;Establish Moral Police;;;;;;;;;;;;;x
establish_moral_police_desc;"From all sides, day and night, our blessed society is besieged by forces that cannot be defeated with blood and bullets – the enemy is the insidious creep of corrupting influences that cause our good people to be led astray from the one true path. They need a shepherd to lead them back to the fold; a holy protector, ever-vigilant, who will guard them against temptation. A force of devout religious police will be that guardian of the people’s morality! With such a holy instrument at our disposal, we will transform our society from the ground up into a paragon of virtue.";;;;;;;;;;;;;x
demobilize_moral_police_title;Demobilize Moral Police;;;;;;;;;;;;;x
demobilize_moral_police_desc;Whether because we now understand that individual morality should not be subject to policing like criminal activity, or our religious police simply have no more work in such a perfectly moral society as ours, the time has come to bring an end to the religious police force in our nation.;;;;;;;;;;;;;x
establish_theocracy_dissent_title;Forcibly Establish Theocracy;;;;;;;;;;;;;x
establish_theocracy_dissent_desc;"We are certain with all our soul that this nation should be ruled directly by our deity and that all other modes of governance by definition exist in sin. We can no longer wait to establish direct divine rule in our nation; if we must impose the almighty on the unwilling, they will be forgiven for opposing us. One way or another, we shall have a theocratic state.";;;;;;;;;;;;;x
establish_theocracy_popular_title;Establish Theocracy;;;;;;;;;;;;;x
establish_theocracy_popular_desc;"Our people yearn for this nation to be ruled directly by our deity and chafe at the current secular status quo. They cry out for religious law and a religious state and beg us their government to bring them into the light of the divine presence. We must heed their call; this nation’s government and its god shall become one. No longer shall petty, secular politics inhibit our destiny of becoming a religious paradise.";;;;;;;;;;;;;x
ban_alcohol_title;Ban Alcohol;;;;;;;;;;;;;x
ban_alcohol_desc;"Intoxicating libations have wreaked enough havoc on our nation’s godly population! For some, the temptation of drink is irresistible and causes them to fall into slovenly debauchery. Moreover, the presence of alcohol in our society exacerbates the human failings of those who desperately need our guidance, preventing us from leading them on the path of righteousness. Let us eradicate the problem at its source; let us eradicate alcohol from our hallowed land!";;;;;;;;;;;;;x
lift_alcohol_ban_title;Lift Alcohol Ban;;;;;;;;;;;;;x
lift_alcohol_ban_desc;Our ban on alcoholic beverages has not met with widespread public support, to say the least. The consensus among our advisors is that leaving the ban in place will do more harm than good at this point, and that we can likely serve the spiritual interests of our people in other ways than by keep them away from the temptation to drink to excess. It is only with the consolation of our unwavering faith in our god that we will rescind our ban on evil alcohol.;;;;;;;;;;;;;x
ban_other_religions_title;Ban Non-State Religions;;;;;;;;;;;;;x
ban_other_religions_desc;There are those among us who sinfully resist the one true religion, and what’s worse, they are tempting the faithful among us with their dark ways. And all with the full sanction of our law! We can change that. Let us remove the unjust protection of the law from the writhing wretches that it now protects! Let the heathens squirm beneath the full glory of the one true faith and its adherents! No longer shall we debase ourselves by accommodating their kind amongst us! Ban all religions but the one true faith!;;;;;;;;;;;;;x
unban_other_religions_title;Unban Non-State Religions;;;;;;;;;;;;;x
unban_other_religions_desc;The excesses of the past theocratic regime have done great damage to civil society and religious minorities. Particularly, the previous regime’s autocratic ban of religious dissenters has led to hideous abuses of the fundamental human right of dignity and self-expression. Let us revoke the backwards laws banning the practice of non-state religions and embrace our national diversity as a strength instead of treating it as a failing.;;;;;;;;;;;;;x
ban_religion_title;Ban Organized Religion;;;;;;;;;;;;;x
ban_religion_desc;"Religion – that opiate of the masses, that alternative authority, that disease that corrupts the people in their allegiance to the State. For too long have false leaders scraped out influence among our people by appealing to their base fears and uncertainties. That is our domain! The State is the answer to all hopes and dreams; it alone can be the only object of the people’s adulation! For too long as religion stolen the loyalty of the people. At its best, it is a distraction; at its worst, a threat to our authority. Our course is clear: we shall eradicate all religion from our nation.";;;;;;;;;;;;;x
unban_religion_title;Unban Organized Religion;;;;;;;;;;;;;x
unban_religion_desc;In retrospect, the ban on organized religion has caused much more harm than good. Whether it is due to popular unrest and sense of oppression caused by prohibiting our people’s fundamental beliefs, or because we no longer subscribe to the totalitarian mindset that gave rise to the ban in the first place, it is now time to allow our citizens to worship as they choose.;;;;;;;;;;;;;x
ban_contraceptives_title;Ban Contraceptives/Abortion;;;;;;;;;;;;;x
ban_contraceptives_desc;Greater multitudes of believers will glorify our religion, and what better way to gain new believers than for our godly people to conceive them en masse? Especially if our economy is humming, why not simply do away with the outmoded technologies to control conception? After all, a newborn child is always a blessing. Let there be babies!;;;;;;;;;;;;;x
unban_contraceptives_title;Unban Contraceptives/Abortion;;;;;;;;;;;;;x
unban_contraceptives_desc;Our nation has come a long way since we considered banning contraceptives to be a reasonable means to a legitimate end. It is time to get rid of the deplorable law that discredits our ideals by trampling a woman’s right to control her own body. The state has no business imposing its will on the reproductive decisions of its citizens. The law banning contraceptives belongs in the trash bin of history.;;;;;;;;;;;;;x
one_child_law_title;Pass One-Child Law;;;;;;;;;;;;;x
one_child_law_desc;The grave predictions of our top minds that our wild population growth will inevitably bring anarchy and ruin to our great nation have not fallen on deaf ears. Lest Malthus prove prophetic, we must enact strict – perhaps even harsh – measures to get ahead of the coming population explosion in our nation. The choice is quite clear—if we do not act, within a single generation our rule will certainly fall to a tsunami of young, unemployed revolutionaries whose vast numbers no economy could ever hope to absorb.;;;;;;;;;;;;;x
revoke_one_child_law_title;Revoke One-Child Law;;;;;;;;;;;;;x
revoke_one_child_law_desc;Data from recent years indicate that our population crisis has been successfully averted in part due to our strict one-child policy. Therefore, the law has become obsolescent and is hereby revoked. Let this stand as a triumph of prospective collective action undertaken to overcome a common threat!;;;;;;;;;;;;;x
reform_theoc_to_republic_title;Reform Theocracy to Republic;;;;;;;;;;;;;x
reform_theoc_to_republic_desc;The time has come to do away with our theocratic form of governance for one that better reflects our national values and democratic aspirations. A republican form of governance is the best way forward for our great country.;;;;;;;;;;;;;x
reform_theoc_to_cons_monarchy_title;Reform Theocracy to Constituional Monarchy;;;;;;;;;;;;;x
reform_theoc_to_cons_monarchy_desc;The time has come to do away with our theocratic form of governance for one that better reflects our national values and democratic aspirations. A constitutional monarchy is the best way to balance our traditional values with progressive forces.;;;;;;;;;;;;;x
reform_theoc_to_authoritarian_gov_title;Reform Theocracy to Authoritarian Government;;;;;;;;;;;;;x
reform_theoc_to_authoritarian_gov_desc;The time has come to do away with our theocratic form of governance for one that better reflects our national values and democratic aspirations. A single, strong ruler will be able to guide the nation to prosperity and greatness.;;;;;;;;;;;;;x
EVTNAME50300;Adopt a Theocratic Constitution;;;;;;;;;;;;;x
EVTDESC50300;Our state operates under a secular constitution without a single mention of the guiding principles of our dearest religion, despite how devout our people are and how ingrained our religion is in the identity of our nation. Consequently, a sizeable and growing minority of our citizens and political elite are agitating for a new constitution that incorporates our religion directly into our law. How shall we deal with this situation?;;;;;;;;;;;;;x
EVTOPTA50300;Amend the constitution in due time, after deliberation;;;;;;;;;;;;;x
EVTOPTB50300;Force through necessary changes;;;;;;;;;;;;;x
EVTNAME50301;Angry Secularists;;;;;;;;;;;;;x
EVTDESC50301;Our attempts at changing our constitution to reflect our nation’s deeply-held religiosity have been defeated by a highly-coordinated campaign by indignant secularists who seem determined to hold their nation back from closer communion with the divine. Such ignorance is intolerable! Our spiritual paradise will not come easily, after all.;;;;;;;;;;;;;x
EVTOPTA50301;Damn them!;;;;;;;;;;;;;x
EVTNAME50302;A New Constitution;;;;;;;;;;;;;x
EVTDESC50302;We have established a new constitution that subordinates the state to the will of our god! We shall live in peace and light by following our religion’s teachings as law that not even the state can break! This is a glorious day that shall be remembered into eternity as a new birth for our holy nation! Now we must set to work building our fortress of divinity on earth.;;;;;;;;;;;;;x
EVTOPTA50302;Praise be to our divine being!;;;;;;;;;;;;;x
EVTNAME50303;Divine Crucible;;;;;;;;;;;;;x
EVTDESC50303;"Although we are certain that our religion can be the only source of law and order in our nation, our establishment of it as the supreme law of the land has sparked rioting and violence in the dissenters among us. The die is cast; we shall have to do all we can to minister to our people so that they may understand that we have made our decision with love, not hatred, in our hearts.";;;;;;;;;;;;;x
EVTOPTA50303;Let's hope they listen!;;;;;;;;;;;;;x
EVTNAME50304;Public Skeptical of Reforms;;;;;;;;;;;;;x
EVTDESC50304;The people do not seem to care one way or another what constitution they live under and are displaying remarkable ambivalence toward the new constitution. Although their lack of religious fervor is perhaps worrying, at least we are not facing opposition to our new policies.;;;;;;;;;;;;;x
EVTOPTA50304;OK;;;;;;;;;;;;;x
EVTNAME50305;Public Angered by Reforms;;;;;;;;;;;;;x
EVTDESC50305;The people are enraged at our rewritten constitution and have taken to the street to protest against our rule. Already there are riots and destruction of private property, and we fear that soon there will be violence against individuals who support our government. The elements against the new constitution do not seem to be open to persuasion, so it appears that we face a long road of reconciliation ahead.;;;;;;;;;;;;;x
EVTOPTA50305;Faith guides us!;;;;;;;;;;;;;x
EVTNAME50306;Clergy Supports Reforms;;;;;;;;;;;;;x
EVTDESC50306;"Clerical support for our religious constitutional reforms has successfully calmed the militant critics of our government, and we now face no significant opposition to implementing new policies based on our religious values. This is great news; the future is bright for our holy nation!";;;;;;;;;;;;;x
EVTOPTA50306;Great!;;;;;;;;;;;;;x
EVTNAME50307;Public Supports Reforms;;;;;;;;;;;;;x
EVTDESC50307;The jubilant roar of crowds in the streets must surely reverberate in the heavens above, for the entire nation has issued forth in celebration of its new divine state. Our government is now the object of the public’s unbridled support, which gives us an opportunity that is seldom enjoyed: a popular mandate to solidify our holy rule to perpetuity...;;;;;;;;;;;;;x
EVTOPTA50307;Let us celebrate!;;;;;;;;;;;;;x
EVTOPTB50307;Let us solidify our rule...;;;;;;;;;;;;;x
EVTNAME50308;Widespread Popular Support;;;;;;;;;;;;;x
EVTDESC50308;As we already knew, the people fully back our enlightened rule and have given their full support to our expansion of control over the state. Our holy government will rule for eternity and the people love us!;;;;;;;;;;;;;x
EVTOPTA50308;Mwahaha!;;;;;;;;;;;;;x
EVTNAME50309;Public Feels Betrayed;;;;;;;;;;;;;x
