#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
demand_tibet_CHC_title;Push claims on Tibet;;;;;;;;;;;;;x
demand_tibet_CHC_desc;Should we seek to bring the people of Tibet back into the big Chinese family?;;;;;;;;;;;;;x
seventeen_point_CHC_title;Seventeen Point Agreement;;;;;;;;;;;;;x
seventeen_point_CHC_desc;Should we seek to bring about a diplomatic solution to the Tibetan situation?;;;;;;;;;;;;;x
tibet_land_reform_CHC_title;Tibetan Land Reform;;;;;;;;;;;;;x
tibet_land_reform_CHC_desc;We have given the Tibetans some degree of economic autonomy. We could choose to revoke this in favor of comprehensive land reform.;;;;;;;;;;;;;x
intervene_tibet_CHI_CHC_title;Intervention in Tibet;;;;;;;;;;;;;x
intervene_tibet_CHI_CHC_desc;We could provide support to rebels in Tibet to help bring down the Nationalist government.;;;;;;;;;;;;;x
demand_tibet_CHI_title;Push claims on Tibet;;;;;;;;;;;;;x
demand_tibet_CHI_desc;Should we seek to bring the people of Tibet back into the big Chinese family?;;;;;;;;;;;;;x
seventeen_point_CHI_title;Seventeen Point Agreement;;;;;;;;;;;;;x
seventeen_point_CHI_desc;Should we seek to bring about a diplomatic solution to the Tibetan situation?;;;;;;;;;;;;;x
tibet_land_reform_CHI_title;Tibetan Land Reform;;;;;;;;;;;;;x
tibet_land_reform_CHI_desc;We have given the Tibetans some degree of economic autonomy. We could choose to revoke this in favor of comprehensive land reform.;;;;;;;;;;;;;x
intervene_tibet_CHC_CHI_title;Intervention in Tibet;;;;;;;;;;;;;x
intervene_tibet_CHC_CHI_desc;We could provide support to rebels in Tibet to help bring down the Communist government.;;;;;;;;;;;;;x
intervene_tibet_CHC_IND_title;Intervention in Tibet;;;;;;;;;;;;;x
intervene_tibet_CHC_IND_desc;We could provide support to rebels in Tibet to help bring down the Communist government.;;;;;;;;;;;;;x
intervene_tibet_CHI_IND_title;Intervention in Tibet;;;;;;;;;;;;;x
intervene_tibet_CHI_IND_desc;We could provide support to rebels in Tibet to help bring down the Nationalist government.;;;;;;;;;;;;;x
intervene_tibet_CHC_SOV_title;Intervention in Tibet;;;;;;;;;;;;;x
intervene_tibet_CHC_SOV_desc;We could provide support to rebels in Tibet to help bring down the Communist government.;;;;;;;;;;;;;x
intervene_tibet_CHI_SOV_title;Intervention in Tibet;;;;;;;;;;;;;x
intervene_tibet_CHI_SOV_desc;We could provide support to rebels in Tibet to help bring down the Nationalist government.;;;;;;;;;;;;;x
intervene_tibet_CHC_USA_title;Intervention in Tibet;;;;;;;;;;;;;x
intervene_tibet_CHC_USA_desc;We could provide support to rebels in Tibet to help bring down the Communist government.;;;;;;;;;;;;;x
intervene_tibet_CHI_USA_title;Intervention in Tibet;;;;;;;;;;;;;x
intervene_tibet_CHI_USA_desc;We could provide support to rebels in Tibet to help bring down the Nationalist government.;;;;;;;;;;;;;x
EVTNAME151101;Claims on Tibet;;;;;;;;;;;;;x
EVTDESC151101;We have long maintained our demand that the people of Tibet rejoin the big Chinese family that they once belonged to. Now is the time to pursue this issue, with force if necessary.;;;;;;;;;;;;;x
EVTOPTA151101;Demand authority over Tibet!;;;;;;;;;;;;;x
EVTOPTB151101;Abandon our claims.;;;;;;;;;;;;;x
EVTNAME151102;Tibet Agrees;;;;;;;;;;;;;x
