#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
human_rights_agitation_timer;Human rights agitation;;;;;;;;;;;;;x
human_rights_dissent;Human rights protests;;;;;;;;;;;;;x
human_rights_reform_happiness;Reforms granted;;;;;;;;;;;;;x
human_rights_trust;Trust in the state;;;;;;;;;;;;;x
defecting_general_intel;Defected general;;;;;;;;;;;;;x
preventing_migration;Exodus prevented;;;;;;;;;;;;;x
brain_drain;Brain drain;;;;;;;;;;;;;x
educated_immigrants;Educated immigrants;;;;;;;;;;;;;x
migration_hotspot;Migration hotspot;;;;;;;;;;;;;x
people_are_leaving;People are leaving;;;;;;;;;;;;;x
border_migration_hr;Border exodus;;;;;;;;;;;;;x
asylum_seekers;Asylum seekers;;;;;;;;;;;;;x
forced_to_stay;Exodus prevented;;;;;;;;;;;;;x
educated_immigrants;Educated immigrants;;;;;;;;;;;;;x
EVTNAME52100;Human Rights Protests;;;;;;;;;;;;;
EVTDESC52100;Due to heightened public awareness and press coverage, groups of human rights activists are have staged protests. They claim our government has an extended record of trampling the human rights of the $COUNTRY_ADJ$ people and are calling for reforms. For now, they have garnered only limited publicity, but the issue could grow into a major problem for us if left unattended.;;;;;;;;;;;;;x
EVTOPTA52100;OK;;;;;;;;;;;;;
EVTNAME52101;Protesters Getting Restless;;;;;;;;;;;;;
EVTDESC52101;The human rights protests against our government are growing in number. People are getting angry about our ongoing track record of abuses and our government's seeming disinterest to implement reforms. Some extreme elements are now openly calling for a violent protests.;;;;;;;;;;;;;x
EVTOPTA52101;This is getting out of hand...;;;;;;;;;;;;;
EVTNAME52102;Human Rights Protesters Happy;;;;;;;;;;;;;
EVTDESC52102;Various public statements were issued today concerning our efforts to curb human rights abuse. The $COUNTRY_ADJ$ people are happy about our efforts to recognize and support human rights in our nation. It seems our efforts have placated the people. Amidst widespread approval for our reforms, the protest movement is dissolving.;;;;;;;;;;;;;
EVTOPTA52102;OK;;;;;;;;;;;;;
EVTNAME52103;Excellent Human Rights Record;;;;;;;;;;;;;
