#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
EVTNAME151020;Victory in the People's Liberation War!;;;;;;;;;;;;;x
EVTDESC151020;Our People's Liberation Army, backed by the whole nation, has been fighting heroically and selflessly to defend the territorial sovereignty of our homeland, to protect the people's lives and property, and to relieve the people of their sufferings. Now, the People's War of Liberation has been essentially won, the reactionary rule of the Nationalist government overthrown, and the majority of the people in the country have been liberated. The Central People's Government Council has decided to declare to the governments of all other countries that our regime is the sole legal government representing all the people of the People's Republic of China.;;;;;;;;;;;;;x
EVTOPTA151020;A glorious day;;;;;;;;;;;;;x
EVTNAME151021;People's Republic of China Declared;;;;;;;;;;;;;x
EVTDESC151021;After a number of successful campaigns against Nationalist forces which resulted in Communist control being extended across most of China, the Communist leadership has declared the establishment of the People's Republic of China from their new capital of Beijing.;;;;;;;;;;;;;x
EVTOPTA151021;OK;;;;;;;;;;;;;x
EVTNAME151023;PRC-RoC Ceasefire;;;;;;;;;;;;;x
EVTDESC151023;The Chinese Communists and Nationalists have declared a ceasefire, leaving the Communists in control of the mainland and the nationalists in control of Taiwan, although it is an uneasy peace.;;;;;;;;;;;;;x
EVTOPTA151023;OK;;;;;;;;;;;;;x
EVTNAME151024;USA Blockades the Taiwan Strait;;;;;;;;;;;;;x
EVTDESC151024;The imperialist United States has sent a fleet to blockade the Taiwan Strait, preventing us from dealing the final blow to the Nationalists cowering in Taiwan.;;;;;;;;;;;;;x
EVTOPTA151024;We are forced into a cease-fire;;;;;;;;;;;;;x
EVTOPTB151024;The USA will not stand in our way;;;;;;;;;;;;;x
EVTNAME151025;Taiwan Strait Crisis Expands!;;;;;;;;;;;;;x
EVTDESC151025;Communist China has declared war on the USA, claiming that their stationing of a fleet in the Taiwan strait is an unjustifiable violation of their territorial waters and an act of war. If the Communists are to reach Taiwan they must now fight their way past the formiddable naval forces of the USA.;;;;;;;;;;;;;x
EVTOPTA151025;OK;;;;;;;;;;;;;x
EVTNAME152050;People's Republic of China Declared;;;;;;;;;;;;;x
EVTDESC152050;With most of China now under their control, and their armies inflicting upon us defeat after defeat, the Communist bandits have declared the establishment of the People's Republic of China from their new capital of Beijing. Now we face two options, neither of them ideal: withdraw to Taiwan and develop the island as a future springboard for the reclamation of mainland China, or continue to fight on in the hinterlands.;;;;;;;;;;;;;x
EVTOPTA152050;A temporary withdrawal to Taiwan;;;;;;;;;;;;;x
EVTOPTB152050;We will continue the fight here;;;;;;;;;;;;;x
EVTNAME152052;Communist China Declares a Cease-fire;;;;;;;;;;;;;x
EVTDESC152052;The Chinese Communists have backed down from their planned invasion of Taiwan and have declared a ceasefire. This will give us some breathing space, but it would be premature to assume that this means the end of their designs upon our remaining territory.;;;;;;;;;;;;;x
EVTOPTA152052;OK;;;;;;;;;;;;;x
EVTNAME152053;Taiwan Strait Crisis Expands!;;;;;;;;;;;;;x
EVTDESC152053;Communist China has declared war on the USA, claiming that their stationing of a fleet in the Taiwan strait is an unjustifiable violation of their territorial waters and an act of war. If the Communists are to reach us on Taiwan they must now fight their way past the formiddable naval forces of the USA.;;;;;;;;;;;;;x
EVTOPTA152053;This will be their undoing.;;;;;;;;;;;;;x
EVTNAME354030;The Tripartite Agreement;;;;;;;;;;;;;x
EVTDESC354030;The Tripartite Agreement was signed jointly by the United States, France, and the United Kingdom the conclusion of the first Arab-Israeli War. It was meant to ensure against infringement of the territorial boundaries established by the Arab-Israeli armistice and to prevent an arms race from developing between the Arab states and Israel. The signatories to the agreement aimed to ensure the free flow of oil from the region by promoting stability, and if possible, to encourage Israel and the Arab states to align with the West against Soviet influence. The United States in particular sought to maintain its neutrality in the Arab-Israeli feud.;;;;;;;;;;;;;x
EVTOPTA354030;We'll cross our fingers.;;;;;;;;;;;;;x
EVTNAME354031;UN resolution 95;;;;;;;;;;;;;x
EVTDESC354031;The Egyptian policy of preventing ships bound for Israel from navigating through the Suez Canal threatens the stability and peace in the Middle East. In conjunction with both sides’ statements that they will work for peace, UN Security Council Resolution 95 has been introduced for adoption. The Resolution calls on Egypt to immediately cease all interference with shipping except for that immediately necessary for safety. Let’s hope that this resolution will put the lid on escalating tensions between the Arab states and Israel.;;;;;;;;;;;;;x
EVTOPTA354031;Let's hope.;;;;;;;;;;;;;x
EVTNAME354032;Tripartite talks;;;;;;;;;;;;;x
EVTDESC354032;The signatories to the Tripartite Agreement have convened in London to discuss what actions should be taken regarding the Suez Crisis. The military option is on the table, but with it comes the grave risk of sparking WWIII. The talks are expected to produce a result very soon…;;;;;;;;;;;;;x
EVTOPTA354032;Wait and see…;;;;;;;;;;;;;x
EVTNAME354033;Tripartite Talks;;;;;;;;;;;;;x
EVTDESC354033;Our allies in the Tripartite Talks in London are committed to a military intervention to resolve the Suez Crisis. However, from the vantage point of the United States of America, the timing could not be worse. The USSR is on the march across the world and war in the Middle East would certainly be seized upon to justify further Communist expansion. Moreover, the worst case scenario is a Soviet intervention in a military stalemate in the Middle East that could force us to commit troops to bolster our allies in the region, possibly leading to a nuclear exchange.;;;;;;;;;;;;;x
EVTOPTA354033;We cannot agree to this!;;;;;;;;;;;;;x
EVTOPTB354033;Let there be war!;;;;;;;;;;;;;x
EVTNAME180020;The Suez Question;;;;;;;;;;;;;x
EVTDESC180020;If we want to capitalize on the Egyptian public’s anger toward the British and seize the strategically vital Suez Canal, now is the time to do so. Control of the canal would give us huge leverage against Israel, the enemy of the Arab world, and by proxy against the West as a whole. The best way to put pressure on Britain is to repeal the Anglo-Egyptian Treaty of 1936, set to expire in 1956. Given the public’s current discontent, we will certainly incur no domestic political fallout from this decision. However, the international community will certainly react negatively to such an action on our part.;;;;;;;;;;;;;x
EVTOPTA180020;Repeal the Anglo-Egyptian Treaty.;;;;;;;;;;;;;x
EVTOPTB180020;Let the treaty run its course.;;;;;;;;;;;;;x
EVTNAME180021;Britain refuses to leave Suez!;;;;;;;;;;;;;x
EVTDESC180021;The British have decided not to accede to our demands for withdrawal from the Suez Canal and remain garrisoned there. However, the public’s anti-British rage demands some kind of action from us to eject the British from Egyptian territory. Our options are to declare war to enforce our rights, or concede that our gambit failed and try to mitigate the popular anger that will certainly be redirected toward our government.;;;;;;;;;;;;;x
EVTOPTA180021;This means war!;;;;;;;;;;;;;x
EVTOPTB180021;They called our bluff.;;;;;;;;;;;;;x
EVTNAME180022;Britain returns Suez;;;;;;;;;;;;;x
EVTDESC180022;Britain returns Suez;;;;;;;;;;;;;x
EVTOPTA180022;Very well;;;;;;;;;;;;;x
EVTNAME180023;Military Coup!;;;;;;;;;;;;;x
EVTDESC180023;In retrospect, it was only a matter of time before a spark set off the powder keg of popular anger that would topple the government. In this case, the British garrison of the Suez Canal pacified a troublesome Egyptian auxiliary police barracks and killed 41 Egyptians in the process, sparking riots in Cairo and burning of British property. Seizing the initiative, the ‘Free Officer’s Movement’ has overthrown Egypt’s unpopular government in a military coup. Egypt will now be ruled by an authoritarian regime as the crisis in the Middle East deepens.;;;;;;;;;;;;;x
EVTOPTA180023;Viva la revolucion!;;;;;;;;;;;;;x
EVTNAME180024;Suez Canal Company;;;;;;;;;;;;;x
EVTDESC180024;The British are offering a deal: we allow them to extend their lease of the Suez Canal in exchange for their removal of all British military personnel from our territory. Accepting this offer would largely placate the public’s anti-British mood and would improve diplomatic relations with Britain and France, both of whom are interested in ensuring free passage of their ships through the Canal. The British have made it clear, however, that declining would risk the use of force against us to maintain control over the canal.;;;;;;;;;;;;;x
EVTOPTA180024;Accept!;;;;;;;;;;;;;x
EVTOPTB180024;Decline!;;;;;;;;;;;;;x
EVTNAME180025;A Tight Spot;;;;;;;;;;;;;x
EVTDESC180025;Our decision to decline Britain’s offer to withdraw from our territory in exchange for a lease extension to the Suez Canal has forced us to follow through on our threats to seize the Canal or else cave to British demands at the last minute and suffer a huge blow to our national prestige. The latter option would risk more riots and possibly a coup against our regime, not to mention dash any hopes for nationalizing the canal in the near future. What shall it be?;;;;;;;;;;;;;x
EVTOPTA180025;Cave to the British.;;;;;;;;;;;;;x
EVTOPTB180025;Seize the Canal!;;;;;;;;;;;;;x
EVTNAME180026;The Sudanese Question;;;;;;;;;;;;;x
EVTDESC180026;Incredibly, the British have offered us full control of their colony of Sudan and are willing to allow us to annex the entire region! Such a diplomatic triumph by Egypt is unprecedented and surely heralds a glorious future where Egypt assumes its rightful place as leader of the Arab world! This is a great day for Egypt!;;;;;;;;;;;;;x
EVTOPTA180026;Sudan shall be a part of Egypt!;;;;;;;;;;;;;x
EVTOPTB180026;Decline the offer.;;;;;;;;;;;;;x
EVTNAME180027;The Sudanese Question;;;;;;;;;;;;;x
EVTDESC180027;Britain has approached us with an offer regarding Sudan: in exchange for the release of our claims to that region, the British promise to release Sudan as a fully independent state. Both we and the British government would then officially recognize Sudan diplomatically. The thrust of this offer appears to allow us to save face before the public by ‘kicking out’ the former British colonialists from our doorstep. All in all, it is a fair offer. If we accept, we will improve relations with Great Britain and gain a grateful new African neighbor to our south.;;;;;;;;;;;;;x
EVTOPTA180027;Accept Sudanese independence.;;;;;;;;;;;;;x
EVTOPTB180027;Decline the offer.;;;;;;;;;;;;;x
EVTNAME180028;Israeli Tensions;;;;;;;;;;;;;x
EVTDESC180028;Bad blood has existed between our nation and the Israelis ever since the conclusion of the Arab-Israeli War. As part of our attempts to gain regional supremacy in the Middle East, we have begun a policy of denouncing and intermittently raiding Israeli possessions. Although this foments resentment against us from the Israelis, we believe that we rise in prestige among other Arab states because of it.;;;;;;;;;;;;;x
EVTOPTA180028;OK.;;;;;;;;;;;;;x
EVTNAME180029;Draft Resolution 997;;;;;;;;;;;;;x
EVTDESC180029;Draft Resolution 997.;;;;;;;;;;;;;x
EVTOPTA180029;Good news.;;;;;;;;;;;;;x
EVTNAME354120;Communist China Declares War!;;;;;;;;;;;;;x
EVTDESC354120;Communist China has declared war on us, claiming that our stationing of a fleet in the Taiwan strait is an unjustifiable violation of their territorial waters and an act of war. If the Communists intend to invade Taiwan they must now fight their way past the might of the U.S. Navy.;;;;;;;;;;;;;x
EVTOPTA354120;We will not take this lightly.;;;;;;;;;;;;;x
