#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x,,,,,,,,,
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
#ENG;;;;;;;;;;;;;;x
dec_ENG_biafran_issue_title;The Biafran Issue;;;;;;;;;;;;;x
dec_ENG_biafran_issue_desc;Endemic ethnic and cultural tensions in Nigeria have degenerated into electoral fraud and violence across the region, and now a new crisis is unfolding: the southeastern region of Nigeria has declared its independence as the Republic of Biafra and is enforcing its decree with force. Already, local and regional powers are taking sides in this new conflict.;;;;;;;;;;;;;;x,,,,,,,
#NIG;;;;;;;;;;;;;;x
NIG_demand_independence_title;Demand Independence;;;;;;;;;;;;;x
NIG_demand_independence_desc;After decades of hard work laying the foundations of the Nigerian nation, political leaders from across our country have come together and signed a joint petition for an independent Nigeria for submission to the British government. For now, Nigeria stands united in her petition for independence, and we sincerely hope that Britain will allow us to go our separate way. If not, we will be forced to take drastic action.;;;;;;;;;;;;;;x,,,,,
NIG_UDI_title;Nigerian Unilateral Declaration of Independence;;;;;;;;;;;;;x
NIG_UDI_desc;The British rejection of our petition for independence has forced us to seize it without their permission. With our Unilateral Declaration Independence, we have severed all historic ties with Britain and established a provisional government across the country. The armed forces we could raise have expelled all British authorities from Nigeria, and our flag now flies over the land! Long live Nigeria!;;;;;;;;;;;;;;x,,,,,,,
NIG_hold_elections_title;Hold elections;;;;;;;;;;;;;x
NIG_hold_elections_desc;The population – whipped up by politicians who stand to profit from their fervor – is demanding that their voice be heard in democratic elections. We cannot delay any longer: to do so would provoke riots in the streets that would bring down the government. For better or worse, Nigeria will go to the ballot box.;;;;;;;;;;;;;;x,,,,,,,,
#EGY/UAR;;;;;;;;;;;;;;x
dec_EGY_biafran_issue_title;The Biafran Issue;;;;;;;;;;;;;x
