#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
#ENG;;;;;;;;;;;;;;x
iceland_12nm_zone_reaction_ENG_title;Iceland's Expanded Fishing Grounds;;;;;;;;;;;;;x
iceland_12nm_zone_reaction_ENG_desc;Iceland's seas are overfished, so the Icelandic government decided to simply expand their territorial waters and claim new fishing grounds – at the expense of our own fishermen who now need protection from the Navy in the 'new' Icelandic waters. It is unlikely that Iceland, which depends on the fishing industry, will give in here, but can we accept this provocation?;;;;;;;;;;;;;x
iceland_50nm_zone_early_reaction_ENG_title;Iceland's Expanded Fishing Grounds;;;;;;;;;;;;;x
iceland_50nm_zone_early_reaction_ENG_desc;Iceland's seas are overfished, so the Icelandic government decided to simply expand their territorial waters and claim new fishing grounds – by a full fifty nautical miles and at the expense of our own fishermen who now need protection from the Navy in the 'new' Icelandic waters! It is unlikely that Iceland, which depends on the fishing industry, will give in here, but can we accept this provocation?;;;;;;;;;;;;;x
iceland_50nm_zone_reaction_ENG_title;Iceland and our Fishing Industry;;;;;;;;;;;;;x
iceland_50nm_zone_reaction_ENG_desc;The Icelandic government has decided to extend its territorial water, like it has done it before, and British fishing zones now fall within the 'new' Icelandic waters. British trawlers are getting their nets cut and the fishermen are angry. The question is how much time and effort we can put into this - Iceland is unlikely to revoke its claim.;;;;;;;;;;;;;x
iceland_200nm_zone_early_reaction_ENG_title;The Question of the Icelandic Territorial Waters;;;;;;;;;;;;;x
iceland_200nm_zone_early_reaction_ENG_desc;Once more, British and Icelandic ships clash in a so-called 'Cod War'. The reason is the unilateral expansion of Iceland's territorial waters. What can we do about this?;;;;;;;;;;;;;x
iceland_200nm_zone_reaction_ENG_title;The Question of the Icelandic Territorial Waters;;;;;;;;;;;;;x
iceland_200nm_zone_reaction_ENG_desc;Once more, British and Icelandic ships clash in a so-called 'Cod War'. The reason is the unilateral expansion of Iceland's territorial waters. What can we do about this?;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#ICL;;;;;;;;;;;;;;x
extend_zone_first_ICL_title;New Fishing Grounds for Iceland;;;;;;;;;;;;;x
extend_zone_first_ICL_desc;To avoid overfishing our seas and the subsequent collapse of the vital fishing industry, we could extend our territorial waters. Iceland – at the time under Danish rule – has done this before in the 19th century and Britain agreed to it that time. If we don't overdo it, the British may once again show restraint and accept the loss for their own fishing industry, which is in decline anyway.;;;;;;;;;;;;;x
extend_zone_second_50nm_ICL_title;More Help for the Fishing Industry;;;;;;;;;;;;;x
extend_zone_second_50nm_ICL_desc;Once again, political measures are necessary to avoid the further delince of our fishing industry. Extending our national waters has been done successfully in the past, so maybe we should simply do it once again.;;;;;;;;;;;;;x
extend_zone_second_200nm_ICL_title;The Future of the Fishing Industry;;;;;;;;;;;;;x
extend_zone_second_200nm_ICL_desc;Despite all our efforts, the seas around Iceland are still overfished. It's unlikely that the fishermen will accept a reduction of their fishing quota and that would jeopardize their income and future. We need something else to save the fishing industry.;;;;;;;;;;;;;x
pmod_50nm_fishing;6 Nautical Mile Territorial Waters;;;;;;;;;;;;;x
pmod_50nm_fishing;50 Nautical Mile Territorial Waters;;;;;;;;;;;;;x
pmod_200nm_fishing;200 Nautical Mile Territorial Waters;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ; REMOVE HASH FOR ACTIVE EVENTS AND OPTIONS;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
#ENG;;;;;;;;;;;;;;x
EVTNAME181002;The Cod War;;;;;;;;;;;;;x
EVTDESC181002;Clashes continue to erupt between British and Icelandic vessels in Iceland's new territorial waters and have been dubbed the 'Cod War' by the press. While British fishermen appreciate the protection by the Navy, such protection is very expensive compared to its actual effect. Are fish really worth our time and money?;;;;;;;;;;;;;x
EVTOPTA181002;Withdraw the fleet, this is becoming absurd;;;;;;;;;;;;;x
EVTOPTB181002;Protect the fishing vessels for some time more to placate the public;;;;;;;;;;;;;x
EVTOPTC181002;If they want the fish, make it costly!;;;;;;;;;;;;;x
EVTNAME181003;The Cod War;;;;;;;;;;;;;x
