#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
mod_UN_decolonisation_declaration_failure_delay;UN Decolonisation Declaration Delay;;;;;;;;;;;;;x
mod_UN_decolonisation_declaration;UN Decolonisation Declaration;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
dec_UN_raise_decolonisation_declaration_title;The UN Decolonisation Declaration;;;;;;;;;;;;;x
dec_UN_raise_decolonisation_declaration_desc;United Nations General Assembly Resolution 1514, The Declaration on the Granting of Independence to Colonial Countries and Peoples.;;;;;;;;;;;;;x
dec_UN_decolonisation_declaration_disable_voting_notifications_title;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
dec_UN_decolonisation_declaration_disable_voting_notifications_desc;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
EVTNAME13000;The UN Decolonisation Declaration;;;;;;;;;;;;;x
EVTDESC13000;United Nations General Assembly Resolution 1514, The Declaration on the Granting of Independence to Colonial Countries and Peoples, has been opened for voting.;;;;;;;;;;;;;x
EVTOPTA13000;Large Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTB13000;Small Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTC13000;No Diplomatic Investment.;;;;;;;;;;;;;x
EVTNAME13001;UN Voting Notifications;;;;;;;;;;;;;x
EVTDESC13001;Shall we receive notifications when nations decide their vote on the current UN Resolution undergoing a vote?\nThese can be turned off at any time by an international decision.;;;;;;;;;;;;;x
EVTOPTA13001;Receive Notifications.;;;;;;;;;;;;;x
EVTOPTB13001;No Notifications.;;;;;;;;;;;;;x
EVTNAME13002;Decolonisation Declaration Fails Vote;;;;;;;;;;;;;x
EVTDESC13002;United Nations General Assembly Resolution 1514, The Declaration on the Granting of Independence to Colonial Countries and Peoples, has been defeated by vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA13002;Unfortunate;;;;;;;;;;;;;x
EVTNAME13003;Decolonisation Declaration Passes Vote;;;;;;;;;;;;;x
EVTDESC13003;United Nations General Assembly Resolution 1514, The Declaration on the Granting of Independence to Colonial Countries and Peoples, has passed its vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA13003;Excellent;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
EVTNAME13010;UN Vote on Decolonisation Declaration;;;;;;;;;;;;;x
EVTDESC13010;We have the opportunity to vote on United Nations General Assembly Resolution 1514, The Declaration on the Granting of Independence to Colonial Countries and Peoples.\nWe can either vote For it, Abstain, or vote Against it.;;;;;;;;;;;;;x
EVTOPTA13010;§GVote For;;;;;;;;;;;;;x
EVTOPTB13010;Abstain;;;;;;;;;;;;;x
EVTOPTC13010;§RVote Against;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
