#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;x
# Events ; REMOVE HASH FOR ACTIVE EVENTS AND OPTIONS;;;;;;;;;;;;;x
##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;x
#ANG;Angola;;;;;;;;;;;;;x
EVTNAME6000;The Angolan Independence;;;;;;;;;;;;;x
EVTDESC6000;From the demands of angolan intellectuals to the recent popular uprisings, the nationalist sentiment in Angola is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Angola is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6000;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6000;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6000;Angola is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6001;The Angolan Independence;;;;;;;;;;;;;x
EVTDESC6001;The angolan government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6001;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6001;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6002;The Angolan War;;;;;;;;;;;;;x
EVTDESC6002;Armed groups of rebel militias continue to terrorize the population in Angola. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Angola. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6002;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6002;Crush the rebel scum! Angola is ours!;;;;;;;;;;;;;x
EVTNAME6003;The Angolan War;;;;;;;;;;;;;x
EVTDESC6003;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6003;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6003;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#BEN;Benin;;;;;;;;;;;;;x
EVTNAME6010;The Beninese Independence;;;;;;;;;;;;;x
EVTDESC6010;From the demands of beninese intellectuals to the recent popular uprisings, the nationalist sentiment in Benin is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Benin is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6010;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6010;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6010;Benin is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6011;The Beninese Independence;;;;;;;;;;;;;x
EVTDESC6011;The beninese government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6011;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6011;Insubordination will not be tolerated.;;;;;;;;;;;;;x
