#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
mod_UN_environmental_modification_convention_failure_delay;UN Environmental Modification Convention Delay;;;;;;;;;;;;;x
mod_UN_environmental_modification_convention_ratifier_delay;UN Environmental Modification Convention Ratifier Delay;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
mod_UN_environmental_modification_convention_revoked_recently;UN Environmental Modification Convention Revoked Recently;;;;;;;;;;;;;x
mod_UN_environmental_modification_convention_ratified;UN Environmental Modification Convention;;;;;;;;;;;;;x
mod_UN_environmental_modification_convention_ratified_recently;UN Environmental Modification Convention Ratified Recently;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
dec_UN_raise_environmental_modification_convention_title;The UN Environmental Modification Convention;;;;;;;;;;;;;x
dec_UN_raise_environmental_modification_convention_desc;United Nations General Assembly Resolution 31/72, The Convention on the Prohibition of Military or Any Other Hostile Use of Environmental Modification Techniques.;;;;;;;;;;;;;x
dec_UN_environmental_modification_convention_disable_voting_notifications_title;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
dec_UN_environmental_modification_convention_disable_voting_notifications_desc;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
dec_UN_ratify_environmental_modification_convention_title;Ratify UN Environmental Modification Convention;;;;;;;;;;;;;x
dec_UN_ratify_environmental_modification_convention_desc;Ratify The Convention on the Prohibition of Military or Any Other Hostile Use of Environmental Modification Techniques.;;;;;;;;;;;;;x
dec_UN_withdraw_from_environmental_modification_convention_title;Withdraw from UN Environmental Modification Convention;;;;;;;;;;;;;x
dec_UN_withdraw_from_environmental_modification_convention_desc;Withdraw from The Convention on the Prohibition of Military or Any Other Hostile Use of Environmental Modification Techniques.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
EVTNAME11900;The UN Environmental Modification Convention;;;;;;;;;;;;;x
EVTDESC11900;United Nations General Assembly Resolution 31/72, The Convention on the Prohibition of Military or Any Other Hostile Use of Environmental Modification Techniques has been opened for voting.;;;;;;;;;;;;;x
EVTOPTA11900;Large Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTB11900;Small Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTC11900;No Diplomatic Investment.;;;;;;;;;;;;;x
EVTNAME11901;UN Voting Notifications;;;;;;;;;;;;;x
EVTDESC11901;Shall we receive notifications when nations decide their vote on the current UN Resolution undergoing a vote?\nThese can be turned off at any time by an international decision.;;;;;;;;;;;;;x
EVTOPTA11901;Receive Notifications.;;;;;;;;;;;;;x
EVTOPTB11901;No Notifications.;;;;;;;;;;;;;x
EVTNAME11902;UN Environmental Modification Convention Fails Vote;;;;;;;;;;;;;x
EVTDESC11902;United Nations General Assembly Resolution 31/72, The Convention on the Prohibition of Military or Any Other Hostile Use of Environmental Modification Techniques, has been defeated by vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA11902;Unfortunate;;;;;;;;;;;;;x
EVTNAME11903;UN Environmental Modification Convention Passes Vote;;;;;;;;;;;;;x
EVTDESC11903;United Nations General Assembly Resolution 31/72, The Convention on the Prohibition of Military or Any Other Hostile Use of Environmental Modification Techniques, has passed its vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA11903;Excellent;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
EVTNAME11910;Environmental Modification Convention UN Vote;;;;;;;;;;;;;x
EVTDESC11910;We have the opportunity to vote on United Nations General Assembly Resolution 31/72, The Convention on the Prohibition of Military or Any Other Hostile Use of Environmental Modification Techniques, at the UN General Assembly.\nWe can either vote For it, Abstain, or vote Against it.;;;;;;;;;;;;;x
EVTOPTA11910;§GVote For;;;;;;;;;;;;;x
EVTOPTB11910;Abstain;;;;;;;;;;;;;x
EVTOPTC11910;§RVote Against;;;;;;;;;;;;;x
EVTNAME11912;Ratified the Environmental Modification Convention;;;;;;;;;;;;;x
EVTDESC11912;We have ratified the UN Environmental Modification Convention.;;;;;;;;;;;;;x
EVTOPTA11912;Progress and civility will prevail.;;;;;;;;;;;;;x
EVTNAME11914;Withdrawal from the Environmental Modification Convention;;;;;;;;;;;;;x
EVTDESC11914;We have withdrawn from the UN Environmental Modification Convention.;;;;;;;;;;;;;x
EVTOPTA11914;Good riddance.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
