#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
mod_UN_human_environment_declaration_failure_delay;UN Human Environment Declaration Delay;;;;;;;;;;;;;x
mod_UN_human_environment_declaration;UN Human Environment Declaration;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
dec_UN_raise_human_environment_declaration_title;The UN Human Environment Declaration;;;;;;;;;;;;;x
dec_UN_raise_human_environment_declaration_desc;United Nations General Assembly Resolution 2994, The Declaration of the United Nations Conference on the Human Environment.;;;;;;;;;;;;;x
dec_UN_human_environment_declaration_disable_voting_notifications_title;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
dec_UN_human_environment_declaration_disable_voting_notifications_desc;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
EVTNAME13600;The UN Human Environment Declaration;;;;;;;;;;;;;x
EVTDESC13600;United Nations General Assembly Resolution 2994, The Declaration of the United Nations Conference on the Human Environment, has been opened for voting.;;;;;;;;;;;;;x
EVTOPTA13600;Large Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTB13600;Small Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTC13600;No Diplomatic Investment.;;;;;;;;;;;;;x
EVTNAME13601;UN Voting Notifications;;;;;;;;;;;;;x
EVTDESC13601;Shall we receive notifications when nations decide their vote on the current UN Resolution undergoing a vote?\nThese can be turned off at any time by an international decision.;;;;;;;;;;;;;x
EVTOPTA13601;Receive Notifications.;;;;;;;;;;;;;x
EVTOPTB13601;No Notifications.;;;;;;;;;;;;;x
EVTNAME13602;Human Environment Declaration Fails Vote;;;;;;;;;;;;;x
EVTDESC13602;United Nations General Assembly Resolution 2994, The Declaration of the United Nations Conference on the Human Environment, has been defeated by vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA13602;Unfortunate;;;;;;;;;;;;;x
EVTNAME13603;Human Environment Declaration Passes Vote;;;;;;;;;;;;;x
EVTDESC13603;United Nations General Assembly Resolution 2994, The Declaration of the United Nations Conference on the Human Environment, has passed its vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA13603;Excellent;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
EVTNAME13610;UN Vote on Human Environment Declaration;;;;;;;;;;;;;x
EVTDESC13610;We have the opportunity to vote on United Nations General Assembly Resolution 2994, The Declaration of the United Nations Conference on the Human Environment.\nWe can either vote For it, Abstain, or vote Against it.;;;;;;;;;;;;;x
EVTOPTA13610;§GVote For;;;;;;;;;;;;;x
EVTOPTB13610;Abstain;;;;;;;;;;;;;x
EVTOPTC13610;§RVote Against;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
