#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
intervene_firstindochinawar_CHC_title;The War in Indochina;;;;;;;;;;;;;x
intervene_firstindochinawar_CHC_desc;After the Japanese forces in French Indochina surrendered to Kuomintang troops, they did not set the French officials free. Instead, they allowed the Viet Minh, the major Vietnamese nationalist movement, to take over arsenals and public buildings. This triggered the August Revolution, an uprising to free Vietnam and the rest of Indochina from imperialist rule. The French, however, were not willing to give up their crumbling empire and re-established control over large parts of Indochina. Now, open war has broken out between the Viet Minh and the French troops. The Viet Minh share many ideological similarities with China. Our support will help them shake off the bonds of foreign rule. We have problems of our own as well, though, as reactionary forces are still a threat within our own borders. How shall we proceed?;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
leave_indochina_CHI_title;The Fate of Indochina;;;;;;;;;;;;;x
leave_indochina_CHI_desc;After the Japanese forces in French Indochina surrendered to our troops, they did not set the French officials free. Instead, they allowed the Viet Minh, the major Vietnamese nationalist movement, to take over arsenals and public buildings. This triggered the August Revolution, an uprising to free Vietnam and the rest of Indochina from foreign rule. The French, however, were not willing to give up their crumbling empire and re-established control over large parts of Indochina. After having accepted the surrender of the Japanese in Indochina, our own troops are still present as well. The French do not welcome our presence and want to avoid other countries taking influence in the region. We can remain in Vietnam, but any resources spend there will not be available for the war with the Communists in China. What choice shall we make?;;;;;;;;;;;;;x
intervene_firstindochinawar_CHI_title;The War in Indochina;;;;;;;;;;;;;x
intervene_firstindochinawar_CHI_desc;The French have re-established their presence in Indochina and Vietnamese nationalist forces were ousted from key cities. The Viet Minh nationalists managed to keep strongholds in north Vietnam, however. Now, open war has broken out between the Viet Minh and the French. In contrast to the French, the Viet Minh share many ideological similarities with our enemies in China, the communists. The French, on the other hands, stand for foreign imperialist rule over the nations of Asia. Nevertheless, helping either party will steady our influence in the region. How shall we proceed?;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
rebellion_indochina_FRA_title;The Indochinese Rebellion;;;;;;;;;;;;;x
rebellion_indochina_FRA_desc;In August of 1945, Vietnamese nationalists started an uprising against the Japanese, who occupied Indochina at that point. Shortly afterwards, Japan surrendered to Kuomintang troops entering Indochina. However, the sly Japanese did not set the French officials still in custody free, but allowed Vietnamese nationalist groups to secure weapons and take over public buildings. Shortly afterwards, Ho Chi Minh, leader of the communist Viet Minh, proclaimed the so-called Democratic Republic of Vietnam and took control over North Vietnam. Taking back Indochina now may be a costly undertaking. Not intervening would be a sign of weakness, though, and might encourage rebels in other parts of the French Empire. What should we do about the situation?;;;;;;;;;;;;;x
DRV_hanoi_FRA_title;The Viet Minh Insurgence;;;;;;;;;;;;;x
DRV_hanoi_FRA_desc;French troops have retaken the initiative in Indochina and managed to take back Saigon from the rebels. However, significant parts of northern Vietnam are still under the control of the self-proclaimed Democratic Republic of Vietnam. Despite the Japanese being in captivity, the Kuomintang have remained in the region as well and currently occupy Hanoi. We cannot afford other powers meddling in our colony, but it is unlikely that the Chinese will withdraw without us making an concessions. Giving up our privileges in Shanghai and the rest of China might persuade them to leave Indochina to us, though. Also, Laotian nationalists have signalled that they are willing to support us if we grand them limited autonomy. This would mean partly giving up power, but may put an end to the rebellions at least in one part of Indochina. Should we try to negotiate with the Chinese or the Laotians?;;;;;;;;;;;;;x
