#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
mod_UN_mercenary_convention_failure_delay;UN Mercenary Convention Delay;;;;;;;;;;;;;x
mod_UN_mercenary_convention_ratifier_delay;UN Mercenary Convention Ratifier Delay;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
mod_UN_mercenary_convention_revoked_recently;UN Mercenary Convention Revoked Recently;;;;;;;;;;;;;x
mod_UN_mercenary_convention_ratified;UN Mercenary Convention;;;;;;;;;;;;;x
mod_UN_mercenary_convention_ratified_recently;UN Mercenary Convention Ratified Recently;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
dec_UN_raise_mercenary_convention_title;The UN Mercenary Convention;;;;;;;;;;;;;x
dec_UN_raise_mercenary_convention_desc;United Nations General Assembly Resolution 44/34, The International Convention Against the Recruitment, Use, Financing and Training of Mercenaries.;;;;;;;;;;;;;x
dec_UN_mercenary_convention_disable_voting_notifications_title;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
dec_UN_mercenary_convention_disable_voting_notifications_desc;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
dec_UN_ratify_mercenary_convention_title;Ratify UN Mercenary Convention;;;;;;;;;;;;;x
dec_UN_ratify_mercenary_convention_desc;Ratify The International Convention Against the Recruitment, Use, Financing and Training of Mercenaries.;;;;;;;;;;;;;x
dec_UN_withdraw_from_mercenary_convention_title;Withdraw from UN Mercenary Convention;;;;;;;;;;;;;x
dec_UN_withdraw_from_mercenary_convention_desc;Withdraw from The International Convention Against the Recruitment, Use, Financing and Training of Mercenaries.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
EVTNAME11500;The UN Mercenary Convention;;;;;;;;;;;;;x
EVTDESC11500;United Nations General Assembly Resolution 44/34, The International Convention Against the Recruitment, Use, Financing and Training of Mercenaries has been opened for voting.;;;;;;;;;;;;;x
EVTOPTA11500;Large Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTB11500;Small Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTC11500;No Diplomatic Investment.;;;;;;;;;;;;;x
EVTNAME11501;UN Voting Notifications;;;;;;;;;;;;;x
EVTDESC11501;Shall we receive notifications when nations decide their vote on the current UN Resolution undergoing a vote?\nThese can be turned off at any time by an international decision.;;;;;;;;;;;;;x
EVTOPTA11501;Receive Notifications.;;;;;;;;;;;;;x
EVTOPTB11501;No Notifications.;;;;;;;;;;;;;x
EVTNAME11502;UN Mercenary Convention Fails Vote;;;;;;;;;;;;;x
EVTDESC11502;United Nations General Assembly Resolution 44/34, The International Convention Against the Recruitment, Use, Financing and Training of Mercenaries, has been defeated by vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA11502;Unfortunate;;;;;;;;;;;;;x
EVTNAME11503;UN Mercenary Convention Passes Vote;;;;;;;;;;;;;x
EVTDESC11503;United Nations General Assembly Resolution 44/34, The International Convention Against the Recruitment, Use, Financing and Training of Mercenaries, has passed its vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA11503;Excellent;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
EVTNAME11510;Mercenary Convention UN Vote;;;;;;;;;;;;;x
EVTDESC11510;We have the opportunity to vote on United Nations General Assembly Resolution 44/34, The International Convention Against the Recruitment, Use, Financing and Training of Mercenaries, at the UN General Assembly.\nWe can either vote For it, Abstain, or vote Against it.;;;;;;;;;;;;;x
EVTOPTA11510;§GVote For;;;;;;;;;;;;;x
EVTOPTB11510;Abstain;;;;;;;;;;;;;x
EVTOPTC11510;§RVote Against;;;;;;;;;;;;;x
EVTNAME11512;Ratified the Mercenary Convention;;;;;;;;;;;;;x
EVTDESC11512;We have ratified the UN Mercenary Convention.;;;;;;;;;;;;;x
EVTOPTA11512;Progress and civility will prevail.;;;;;;;;;;;;;x
EVTNAME11514;Withdrawal from the Mercenary Convention;;;;;;;;;;;;;x
EVTDESC11514;We have withdrawn from the UN Mercenary Convention.;;;;;;;;;;;;;x
EVTOPTA11514;Good riddance.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
