#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Country Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## ENG ##;;;;;;;;;;;;;;x
mod_ENG_Newfoundland_offer_delay;Newfoundland Offer Delay;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## CAN ##;;;;;;;;;;;;;;x
mod_CAN_Newfoundland_demand_delay;Newfoundland Demand Delay;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Province Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## CAN ##;;;;;;;;;;;;;;x
pmod_CAN_newfoundland_fishing_rights_expanded;Fishing Rights Expanded;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## USA ##;;;;;;;;;;;;;;x
pmod_USA_newfoundland_fishing_rights_curtailed;Fishing Rights Curtailed;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## ENG ##;;;;;;;;;;;;;;x
dec_ENG_offer_newfoundland_to_Canada_title;Offer Newfoundland to Canada;;;;;;;;;;;;;x
dec_ENG_offer_newfoundland_to_Canada_desc;Offer Newfoundland to Canada;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## CAN ##;;;;;;;;;;;;;;x
dec_CAN_pressure_UK_to_give_us_newfoundland_title;Pressure the UK to cede Newfoundland;;;;;;;;;;;;;x
dec_CAN_pressure_UK_to_give_us_newfoundland_desc;Pressure the UK to cede Newfoundland;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## USA ##;;;;;;;;;;;;;;x
dec_USA_offer_Canada_mainland_newfoundland_title;Offer to sell Labrador to Canada;;;;;;;;;;;;;x
dec_USA_offer_Canada_mainland_newfoundland_desc;The accession of Newfoundland & Labrador to our nation has taken a toll upon relations us and Canada. Canadian resentment of the British-defined Quebec-Labrador boundary line has also become more of a concern now that it forms an international boundary between sovereign nations.\n Canada would likely be amenable to us selling them the sparsely populated mainland Labrador in exchange for a monetary settlement and an expansion of their fishing rights in the area, as a method of repairing relations between our nations it may be worth considering.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ; REMOVE HASH FOR ACTIVE EVENTS AND OPTIONS;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## ENG ##;;;;;;;;;;;;;;x
EVTNAME181090;The Newfoundland Question;;;;;;;;;;;;;x
EVTDESC181090;The former dominion of Newfoundland in northeastern North America has been ruled by direct British commission since its financial collapse in the 1930s. With the devastation of WWII impacting upon the Empire's remaining finances, it may be worth seeking an end to our financial oversight of the territory by ceding it to Canada or the USA.\nThe most diplomatic, but expensive, solution however would be to gauge the opinions of the territory's residents first through a referendum before deciding upon our course of action.;;;;;;;;;;;;;x
EVTOPTA181090;Organise a referendum for its populace;;;;;;;;;;;;;x
EVTOPTB181090;Maintain direct rule;;;;;;;;;;;;;x
EVTOPTC181090;Give the region to Canada;;;;;;;;;;;;;x
EVTOPTD181090;Give the region to the USA;;;;;;;;;;;;;x
EVTNAME181091;Newfoundland Referendum Results Favour Canada;;;;;;;;;;;;;x
EVTDESC181091;The results of the referendum in Newfoundland on its fate have favoured its accession to Canada.;;;;;;;;;;;;;x
EVTOPTA181091;Very well, give it to Canada;;;;;;;;;;;;;x
EVTOPTB181091;No, continue direct rule!;;;;;;;;;;;;;x
EVTOPTC181091;No, give it to the USA!;;;;;;;;;;;;;x
EVTNAME181092;Newfoundland Referendum Results Favour the USA;;;;;;;;;;;;;x
EVTDESC181092;The results of the referendum in Newfoundland on its fate have favoured its accession to the USA.;;;;;;;;;;;;;x
EVTOPTA181092;Very well, give it to the USA;;;;;;;;;;;;;x
EVTOPTB181092;No, continue direct rule!;;;;;;;;;;;;;x
EVTOPTC181092;No, give it to Canada!;;;;;;;;;;;;;x
