#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x;;
##################################################;;;;;;;;;;;;;;x
# RYAN'S NEW CODE ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
fascistic_idolg_SOV;National Alliance of Russian Solidarists;NTS;NTS;;NTS;;;;;;;;;x
paternal_auto_idolg_SOV;Russian Liberation Army;ROA;ROA;;ROA;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# OLD CODE  ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
party_none;None;;;;;;;;;;;;;x
fascistic_idolg_ADN;Andorran Fascist League;;;;;;;;;;;;;x
paternal_auto_idolg_ADN;Parochial Union of Ordino;;;;;;;;;;;;;x
social_cons_idolg_ADN;Andorran Democratic Centre;;;;;;;;;;;;;x
market_liberal_idolg_ADN;Liberal Party of Andorra;;;;;;;;;;;;;x
social_liberal_idolg_ADN;Democrats for Andorra;;;;;;;;;;;;;x
social_democrat_idolg_ADN;Social Democratic Party;;;;;;;;;;;;;x
left_wing_radical_idolg_ADN;Socialist Party;;;;;;;;;;;;;x
maoist_idolg_ADN;Andorran Communist Party;;;;;;;;;;;;;x
communist_idolg_ADN;Communist Party of Andorra;;;;;;;;;;;;;x
fascistic_idolg_AFG;Afghan Fascist League;Ligue fasciste afghane;Faschistische Liga Afghanistan;;Liga Fascista Afgana;;;;;;;;;x
paternal_auto_idolg_AFG;National Revolutionary Party;Parti national révolutionnaire;Nationale Revolutionspartei;;Partido Revolucionario Nacional;;;;;;;;;x
social_cons_idolg_AFG;Afghan Conservative Party;Parti conservateur afghan;Konservative Partei Afghanistans;;Partido Conservador Afgano;;;;;;;;;x
market_liberal_idolg_AFG;Afghan Liberal Party;Parti libéral afghan;Liberale Partei Afghanistans;;Partido Liberal Afgano;;;;;;;;;x
social_liberal_idolg_AFG;NCPA;NCPA;NCPA;;NCPA;;;;;;;;;x
social_democrat_idolg_AFG;Afghan Social Democratic Party;Parti social démocratique afghan;Sozialdemokratische Partei Afghanistans;;Partido Socialdemócrata Afgano;;;;;;;;;x
left_wing_radical_idolg_AFG;RGPA;RGPA;RGPA;;RGPA;;;;;;;;;x
maoist_idolg_AFG;Afghanistan Liberation Organization;Organisation de libération de l'Afghanistan;Afghanistan Befreiungsorganisation;;Organización para la Liberación de Afganistán;;;;;;;;;x
communist_idolg_AFG;PDPA;PDPA;PDPA;;PDPA;;;;;;;;;x
fascistic_idolg_ALB;PFSh;PFSh;PFSh;;PFSh;;;;;;;;;x
paternal_auto_idolg_ALB;PMSh;PMSh;PMSh;;PMSh;;;;;;;;;x
social_cons_idolg_ALB;PBKSh;PBKSh;PBKSh;;PBKSh;;;;;;;;;x
market_liberal_idolg_ALB;PRSh;PRSh;PRSh;;PRSh;;;;;;;;;x
social_liberal_idolg_ALB;PDSh;PDSh;PDSh;;PDSh;;;;;;;;;x
