#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Global #;;;;;;;;;;;;;;x
propaganda_campaign_outwards;Propaganda Campaign for the World Stage;;;;;;;;;;;;;x
propaganda_campaign_inwards;National Propaganda Campaign;;;;;;;;;;;;;x
propaganda_industry_triumphs;Industrial Productivity Propaganda;;;;;;;;;;;;;x
propaganda_industrial_efficiency;Worker Productivity Propaganda;;;;;;;;;;;;;x
propaganda_agricultural_efficiency;Agricultural Productivity Propaganda;;;;;;;;;;;;;x
propaganda_capitalist_efficiency;Capitalist Productivity Propaganda;;;;;;;;;;;;;x
propaganda_homemaker_efficiency;Caring Homemaker Propaganda;;;;;;;;;;;;;x
propaganda_films_toured_nationally;Propaganda Films on National Tour;;;;;;;;;;;;;x
propaganda_films_toured_internationally;Propaganda Films on International Tour;;;;;;;;;;;;;x
propaganda_innovation_toured_nationally;Innovation Toured Nationally;;;;;;;;;;;;;x
propaganda_innovation_toured_internationally;Innovation Toured Internationally;;;;;;;;;;;;;x
propaganda_lectures;Propaganda Lectures;;;;;;;;;;;;;x
propaganda_town_meetings;Propaganda Town Meetings;;;;;;;;;;;;;x
propaganda_posters;Propaganda Posters;;;;;;;;;;;;;x
propaganda_radio_stations_promoted;Propaganda Radio Stations Promoted;;;;;;;;;;;;;x
propaganda_radio_stations_blocked;Propaganda Radio Stations Blocked;;;;;;;;;;;;;x
propaganda_art_toured_internationally;Propaganda Art Toured Internationally;;;;;;;;;;;;;x
propaganda_culture_toured_internationally;Propaganda Culture Toured Internationally;;;;;;;;;;;;;x
propaganda_doctors_sent_overseas;Propaganda Doctors Send Overseas;;;;;;;;;;;;;x
propaganda_school_textbooks;Propaganda School Textbooks;;;;;;;;;;;;;x
propaganda_leader_achievements;Propaganda Leader Achievements;;;;;;;;;;;;;x
propaganda_emigres_coopted;Propaganda Émigrés Coopted;;;;;;;;;;;;;x
propaganda_trade_unions_coopted;Propaganda Trade Unions Coopted;;;;;;;;;;;;;x
propaganda_campaign_delay;Propaganda Campaign Delay;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Global #;;;;;;;;;;;;;;x
propaganda_campaign_title;Propaganda Campaign;;;;;;;;;;;;;x
propaganda_campaign_desc;Organise a propaganda campaign to envigorate and education our populace about the benefits of our governance.;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Global #;;;;;;;;;;;;;x
EVTNAME2071;Propaganda Campaign;;;;;;;;;;;;;x
EVTDESC2071;$MONARCHTITLE$, the trusted members of your political inner-circle believe this is the ideal time for $COUNTRY$ to conduct a propaganda campaign to improve our image. We have key elements prepared to move forward with any campaign you choose, but the resources at our disposal are not without limits. \n\nSo $MONARCHTITLE$, you must choose the best direction for our efforts. Do we focus our propaganda inward, addressing our message to our domestic population to sway the opinions of the $COUNTRY_ADJ$ people? Or do we aim outward, projecting our message to the world stage to sway the opinions of the global community toward us?;;;;;;;;;;;;;x
EVTOPTA2071;Focus on the World Stage;;;;;;;;;;;;;x
EVTOPTB2071;Focus on Our Own People;;;;;;;;;;;;;x
EVTNAME2106;Our Industrialists Praised;;;;;;;;;;;;;x
EVTDESC2106;In the news today various media outlets reported on the state of our industry, noting, 'The industrial sector of $COUNTRY$ has demonstrated remarkable productivity that far surpasses that of other nations.' \n\n$MONARCHTITLE$, this is outstanding news. We will coordinate additional press releases to maximize exposure among all media outlets. Everyone will be talking about the industrial might of $COUNTRY$ and our leaders of industry will be centre stage. Let us endeavour to pursue our goals as strongly as our celebrated industrialists!;;;;;;;;;;;;;x
EVTOPTA2106;$COUNTRY_ADJ$ Industry is Great!;;;;;;;;;;;;;x
EVTNAME2072;Our Factory Workers Praised;;;;;;;;;;;;;x
EVTDESC2072;Today in the news various media outlets reported on the output of $COUNTRY_ADJ$ factory workers, noting, 'When discussing the spirit and productivity of factory workers, the workers in $COUNTRY$ are without peer.' \n\n$MONARCHTITLE$, this is outstanding news! We will coordinate additional press releases with every media outlet to maximize exposure. Everyone shall know about of our inspiring examples of $COUNTRY_ADJ$ work-ethic in industry. Let us all recommit to working as hard as our nation’s celebrated factory workers!;;;;;;;;;;;;;x
EVTOPTA2072;$COUNTRY_ADJ$ Workers are Solid!;;;;;;;;;;;;;x
EVTNAME2073;Our Agricultural Workers Praised;;;;;;;;;;;;;x
EVTDESC2073;Today several press outlets reported, 'The work ethic and productivity of modern-day $COUNTRY_ADJ$ farmers is unparalleled.' \n\n$MONARCHTITLE$, this is sensational news! We will flood the media outlets with this report and spotlight the inspiring life stories of our over-achieving farmers. Everyone will speak of the outstanding examples of agricultural success found in $COUNTRY$. Let us all be infused with the unbridled spirit of our nation’s hard-working farmers!;;;;;;;;;;;;;x
EVTOPTA2073;$COUNTRY_ADJ$ Farmers are Wonderful!;;;;;;;;;;;;;x
EVTNAME2074;Our Entrepreneurs Praised;;;;;;;;;;;;;x
EVTDESC2074;In the press today it was reported that the entrepreneurial spirit of $COUNTRY_ADJ$ business leaders is remarkable. \n\n$MONARCHTITLE$, this is fantastic news! We will grab this story and send press releases to major media outlets to spotlight the inspiring lives of our bold visionaries of business. Everyone will be talking about the business excellence that can be found in $COUNTRY$. Let us all adopt the visionary outlook of our nation’s capitalists!;;;;;;;;;;;;;x
EVTOPTA2074;$COUNTRY_ADJ$ Entrepreneurs are Incredible!;;;;;;;;;;;;;x
EVTNAME2075;Our Homemakers Praised;;;;;;;;;;;;;x
