#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
mod_UN_racial_discrimination_convention_failure_delay;UN Racial Discrimination Convention Delay;;;;;;;;;;;;;x
mod_UN_racial_discrimination_convention_ratifier_delay;UN Racial Discrimination Convention Ratifier Delay;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
mod_UN_racial_discrimination_convention_revoked_recently;UN Racial Discrimination Convention Revoked Recently;;;;;;;;;;;;;x
mod_UN_racial_discrimination_convention_ratified;UN Racial Discrimination Convention;;;;;;;;;;;;;x
mod_UN_racial_discrimination_convention_ratified_recently;UN Racial Discrimination Convention Ratified Recently;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
dec_UN_raise_racial_discrimination_convention_title;The UN Racial Discrimination Convention;;;;;;;;;;;;;x
dec_UN_raise_racial_discrimination_convention_desc;United Nations General Assembly Resolution 2106, The International Convention on the Elimination of All Forms of Racial Discrimination.;;;;;;;;;;;;;x
dec_UN_racial_discrimination_convention_disable_voting_notifications_title;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
dec_UN_racial_discrimination_convention_disable_voting_notifications_desc;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
dec_UN_ratify_racial_discrimination_convention_title;Ratify UN Racial Discrimination Convention;;;;;;;;;;;;;x
dec_UN_ratify_racial_discrimination_convention_desc;Ratify The International Convention on the Elimination of All Forms of Racial Discrimination.;;;;;;;;;;;;;x
dec_UN_withdraw_from_racial_discrimination_convention_title;Withdraw from UN Racial Discrimination Convention;;;;;;;;;;;;;x
dec_UN_withdraw_from_racial_discrimination_convention_desc;Withdraw from The International Convention on the Elimination of All Forms of Racial Discrimination.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
EVTNAME11800;The UN Racial Discrimination Convention;;;;;;;;;;;;;x
EVTDESC11800;United Nations General Assembly Resolution 2106, The International Convention on the Elimination of All Forms of Racial Discrimination has been opened for voting.;;;;;;;;;;;;;x
EVTOPTA11800;Large Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTB11800;Small Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTC11800;No Diplomatic Investment.;;;;;;;;;;;;;x
EVTNAME11801;UN Voting Notifications;;;;;;;;;;;;;x
EVTDESC11801;Shall we receive notifications when nations decide their vote on the current UN Resolution undergoing a vote?\nThese can be turned off at any time by an international decision.;;;;;;;;;;;;;x
EVTOPTA11801;Receive Notifications.;;;;;;;;;;;;;x
EVTOPTB11801;No Notifications.;;;;;;;;;;;;;x
EVTNAME11802;UN Racial Discrimination Convention Fails Vote;;;;;;;;;;;;;x
EVTDESC11802;United Nations General Assembly Resolution 2106, The International Convention on the Elimination of All Forms of Racial Discrimination, has been defeated by vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA11802;Unfortunate;;;;;;;;;;;;;x
EVTNAME11803;UN Racial Discrimination Convention Passes Vote;;;;;;;;;;;;;x
EVTDESC11803;United Nations General Assembly Resolution 2106, The International Convention on the Elimination of All Forms of Racial Discrimination, has passed its vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA11803;Excellent;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
EVTNAME11810;Racial Discrimination Convention UN Vote;;;;;;;;;;;;;x
EVTDESC11810;We have the opportunity to vote on United Nations General Assembly Resolution 2106, The International Convention on the Elimination of All Forms of Racial Discrimination, at the UN General Assembly.\nWe can either vote For it, Abstain, or vote Against it.;;;;;;;;;;;;;x
EVTOPTA11810;§GVote For;;;;;;;;;;;;;x
EVTOPTB11810;Abstain;;;;;;;;;;;;;x
EVTOPTC11810;§RVote Against;;;;;;;;;;;;;x
EVTNAME11812;Ratified the Racial Discrimination Convention;;;;;;;;;;;;;x
EVTDESC11812;We have ratified the UN Racial Discrimination Convention.;;;;;;;;;;;;;x
EVTOPTA11812;Progress and civility will prevail.;;;;;;;;;;;;;x
EVTNAME11814;Withdrawal from the Racial Discrimination Convention;;;;;;;;;;;;;x
EVTDESC11814;We have withdrawn from the UN Racial Discrimination Convention.;;;;;;;;;;;;;x
EVTOPTA11814;Good riddance.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
