#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
mod_UN_religious_intolerance_declaration_failure_delay;UN Religious Intolerance Declaration Delay;;;;;;;;;;;;;x
mod_UN_religious_intolerance_declaration;UN Religious Intolerance Declaration;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
dec_UN_raise_religious_intolerance_declaration_title;The UN Religious Intolerance Declaration;;;;;;;;;;;;;x
dec_UN_raise_religious_intolerance_declaration_desc;United Nations General Assembly Resolution 36/55, The Declaration on the Elimination of All Forms of Intolerance and of Discrimination Based on Religion or Belief.;;;;;;;;;;;;;x
dec_UN_religious_intolerance_declaration_disable_voting_notifications_title;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
dec_UN_religious_intolerance_declaration_disable_voting_notifications_desc;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
EVTNAME13400;The UN Religious Intolerance Declaration;;;;;;;;;;;;;x
EVTDESC13400;United Nations General Assembly Resolution 36/55, The Declaration on the Elimination of All Forms of Intolerance and of Discrimination Based on Religion or Belief, has been opened for voting.;;;;;;;;;;;;;x
EVTOPTA13400;Large Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTB13400;Small Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTC13400;No Diplomatic Investment.;;;;;;;;;;;;;x
EVTNAME13401;UN Voting Notifications;;;;;;;;;;;;;x
EVTDESC13401;Shall we receive notifications when nations decide their vote on the current UN Resolution undergoing a vote?\nThese can be turned off at any time by an international decision.;;;;;;;;;;;;;x
EVTOPTA13401;Receive Notifications.;;;;;;;;;;;;;x
EVTOPTB13401;No Notifications.;;;;;;;;;;;;;x
EVTNAME13402;Religious Intolerance Declaration Fails Vote;;;;;;;;;;;;;x
EVTDESC13402;United Nations General Assembly Resolution 36/55, The Declaration on the Elimination of All Forms of Intolerance and of Discrimination Based on Religion or Belief, has been defeated by vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA13402;Unfortunate;;;;;;;;;;;;;x
EVTNAME13403;Religious Intolerance Declaration Passes Vote;;;;;;;;;;;;;x
EVTDESC13403;United Nations General Assembly Resolution 36/55, The Declaration on the Elimination of All Forms of Intolerance and of Discrimination Based on Religion or Belief, has passed its vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA13403;Excellent;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
EVTNAME13410;UN Vote on Religious Intolerance Declaration;;;;;;;;;;;;;x
EVTDESC13410;We have the opportunity to vote on United Nations General Assembly Resolution 36/55, The Declaration on the Elimination of All Forms of Intolerance and of Discrimination Based on Religion or Belief.\nWe can either vote For it, Abstain, or vote Against it.;;;;;;;;;;;;;x
EVTOPTA13410;§GVote For;;;;;;;;;;;;;x
EVTOPTB13410;Abstain;;;;;;;;;;;;;x
EVTOPTC13410;§RVote Against;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
