#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
mod_UN_right_to_development_declaration_failure_delay;UN Decolonisation Declaration Delay;;;;;;;;;;;;;x
mod_UN_right_to_development_declaration;UN Decolonisation Declaration;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
dec_UN_raise_right_to_development_declaration_title;The UN Decolonisation Declaration;;;;;;;;;;;;;x
dec_UN_raise_right_to_development_declaration_desc;United Nations General Assembly Resolution 41/128, The Declaration on the Right to Development.;;;;;;;;;;;;;x
dec_UN_right_to_development_declaration_disable_voting_notifications_title;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
dec_UN_right_to_development_declaration_disable_voting_notifications_desc;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
EVTNAME13500;The UN Decolonisation Declaration;;;;;;;;;;;;;x
EVTDESC13500;United Nations General Assembly Resolution 41/128, The Declaration on the Right to Development, has been opened for voting.;;;;;;;;;;;;;x
EVTOPTA13500;Large Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTB13500;Small Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTC13500;No Diplomatic Investment.;;;;;;;;;;;;;x
EVTNAME13501;UN Voting Notifications;;;;;;;;;;;;;x
EVTDESC13501;Shall we receive notifications when nations decide their vote on the current UN Resolution undergoing a vote?\nThese can be turned off at any time by an international decision.;;;;;;;;;;;;;x
EVTOPTA13501;Receive Notifications.;;;;;;;;;;;;;x
EVTOPTB13501;No Notifications.;;;;;;;;;;;;;x
EVTNAME13502;Decolonisation Declaration Fails Vote;;;;;;;;;;;;;x
EVTDESC13502;United Nations General Assembly Resolution 41/128, The Declaration on the Right to Development, has been defeated by vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA13502;Unfortunate;;;;;;;;;;;;;x
EVTNAME13503;Decolonisation Declaration Passes Vote;;;;;;;;;;;;;x
EVTDESC13503;United Nations General Assembly Resolution 41/128, The Declaration on the Right to Development, has passed its vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA13503;Excellent;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
EVTNAME13510;UN Vote on Decolonisation Declaration;;;;;;;;;;;;;x
EVTDESC13510;We have the opportunity to vote on United Nations General Assembly Resolution 41/128, The Declaration on the Right to Development.\nWe can either vote For it, Abstain, or vote Against it.;;;;;;;;;;;;;x
EVTOPTA13510;§GVote For;;;;;;;;;;;;;x
EVTOPTB13510;Abstain;;;;;;;;;;;;;x
EVTOPTC13510;§RVote Against;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
