#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
mod_UN_settlement_of_disputes_declaration_failure_delay;UN Settlement Of Disputes Declaration Delay;;;;;;;;;;;;;x
mod_UN_settlement_of_disputes_declaration;UN Settlement Of Disputes Declaration;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
dec_UN_raise_settlement_of_disputes_declaration_title;The UN Settlement Of Disputes Declaration;;;;;;;;;;;;;x
dec_UN_raise_settlement_of_disputes_declaration_desc;United Nations General Assembly Resolution 37/10, The Declaration on the Peaceful Settlement of International Disputes.;;;;;;;;;;;;;x
dec_UN_settlement_of_disputes_declaration_disable_voting_notifications_title;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
dec_UN_settlement_of_disputes_declaration_disable_voting_notifications_desc;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
EVTNAME13200;The UN Settlement Of Disputes Declaration;;;;;;;;;;;;;x
EVTDESC13200;United Nations General Assembly Resolution 37/10, The Declaration on the Peaceful Settlement of International Disputes, has been opened for voting.;;;;;;;;;;;;;x
EVTOPTA13200;Large Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTB13200;Small Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTC13200;No Diplomatic Investment.;;;;;;;;;;;;;x
EVTNAME13201;UN Voting Notifications;;;;;;;;;;;;;x
EVTDESC13201;Shall we receive notifications when nations decide their vote on the current UN Resolution undergoing a vote?\nThese can be turned off at any time by an international decision.;;;;;;;;;;;;;x
EVTOPTA13201;Receive Notifications.;;;;;;;;;;;;;x
EVTOPTB13201;No Notifications.;;;;;;;;;;;;;x
EVTNAME13202;Settlement Of Disputes Declaration Fails Vote;;;;;;;;;;;;;x
EVTDESC13202;United Nations General Assembly Resolution 37/10, The Declaration on the Peaceful Settlement of International Disputes, has been defeated by vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA13202;Unfortunate;;;;;;;;;;;;;x
EVTNAME13203;Settlement Of Disputes Declaration Passes Vote;;;;;;;;;;;;;x
EVTDESC13203;United Nations General Assembly Resolution 37/10, The Declaration on the Peaceful Settlement of International Disputes, has passed its vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA13203;Excellent;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
EVTNAME13210;UN Vote on Settlement Of Disputes Declaration;;;;;;;;;;;;;x
EVTDESC13210;We have the opportunity to vote on United Nations General Assembly Resolution 37/10, The Declaration on the Peaceful Settlement of International Disputes.\nWe can either vote For it, Abstain, or vote Against it.;;;;;;;;;;;;;x
EVTOPTA13210;§GVote For;;;;;;;;;;;;;x
EVTOPTB13210;Abstain;;;;;;;;;;;;;x
EVTOPTC13210;§RVote Against;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
