#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Global modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
suspended_elections_timer;Political Turmoil;;;;;;;;;;;;;x
event_civil_disorder;Civil Disorder;;;;;;;;;;;;;x
event_reinforce_the_police;Political Turmoil;;;;;;;;;;;;;x
event_send_in_the_army_internal;Political Turmoil;;;;;;;;;;;;;x
event_opposition_rallies;Opposition Rallies;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
#Player;;;;;;;;;;;;;;x
dec_suspend_elections_player_title;Suspend Elections;;;;;;;;;;;;;x
dec_suspend_elections_player_desc;Attempt to suspend elections with a piece of legislation transferring all authority and legitimacy to our ruling party alone. This action might heavily destabilize our nation because we lack the two thirds party popularity majority required for our party to unilaterally make such a decision.;;;;;;;;;;;;;x
dec_suspend_elections_majority_player_title;Suspend Elections;;;;;;;;;;;;;x
dec_suspend_elections_majority_player_desc;Attempt to suspend elections with a piece of legislation transferring all authority and legitimacy to our ruling party alone. The legitimacy of our decision is bolstered by our two thirds majority in the legislature, and consequently we do not expect to face a great deal of resistance or dissent.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#AI;;;;;;;;;;;;;;x
dec_suspend_elections_ai_title;Suspend Elections;;;;;;;;;;;;;x
dec_suspend_elections_ai_desc;Attempt to suspend elections with a piece of legislation transferring all authority and legitimacy to our ruling party alone. This action might heavily destabilize our nation because we lack the two thirds party popularity majority required for our party to unilaterally make such a decision.;;;;;;;;;;;;;x
dec_suspend_elections_majority_ai_title;Suspend Elections;;;;;;;;;;;;;x
dec_suspend_elections_majority_ai_desc;Attempt to suspend elections with a piece of legislation transferring all authority and legitimacy to our ruling party alone. The legitimacy of our decision is bolstered by our two thirds majority in the legislature, and consequently we do not expect to face a great deal of resistance or dissent.;;;;;;;;;;;;;x
dec_suspend_elections_authoritarian_ai_title;Suspend Elections;;;;;;;;;;;;;x
dec_suspend_elections_authoritarian_ai_desc;Suspend elections with a piece of legislation transferring all authority and legitimacy to our ruling party alone. This action might heavily destabilize our nation because we lack the two thirds party popularity majority required for our party to unilaterally make such a decision.;;;;;;;;;;;;;x
dec_suspend_elections_majority_authoritarian_ai_title;Suspend Elections;;;;;;;;;;;;;x
dec_suspend_elections_majority_authoritarian_ai_desc;Suspend elections with a piece of legislation transferring all authority and legitimacy to our ruling party alone. The legitimacy of our decision is bolstered by our two thirds majority in the legislature, and consequently we do not expect to face a great deal of resistance or dissent.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
EVTNAME1970;Political Turmoil;;;;;;;;;;;;;x
EVTDESC1970;Demonstrations and rioting have spread across several cities with the news of the ruling party’s latest attempt to remove all checks on its power. The peaceful protests quickly escalated into violence, and the streets echo with citizens questioning the attempts to focus state power on one party. Prominent members of the opposition openly talk about our nation 'descending into the madness of totalitarianism.' How should we deal with the protesters?;;;;;;;;;;;;;x
EVTOPTA1970;Address the Nation;;;;;;;;;;;;;x
EVTOPTB1970;Reinforce the Police;;;;;;;;;;;;;x
EVTOPTC1970;Send in the Army;;;;;;;;;;;;;x
EVTNAME1971;New Constitution;;;;;;;;;;;;;x
EVTDESC1971;Suspending elections was a good first step in halting our nation’s degradation and putting an end to so-called ‘free democracies’ that bewitch the masses with false ideas and squander their energy and true potential. To remedy the blight on our people, we must now formally alter the constitution. We have called for a parliamentary session approve our new constitution and lay the cornerstone of ideas for our future state. The occasion will be momentous and the parliament will retroactively enact the decrees that we have already passed. What type of government should we strive to achieve?;;;;;;;;;;;;;x
EVTOPTA1971;Totalitarian State;;;;;;;;;;;;;x
EVTOPTB1971;Authoritarian State;;;;;;;;;;;;;x
EVTNAME1972;New Constitution;;;;;;;;;;;;;x
EVTDESC1972;Suspending elections was a good first step in halting our nation’s degradation and putting an end to so-called ‘free democracies’ that bewitch the masses with false ideas and squander their energy and true potential. To remedy the blight on our people, we must now formally alter the constitution. We have called for a parliamentary session approve our new constitution and lay the cornerstone of ideas for our future state. The occasion will be momentous and the parliament will retroactively enact the decrees that we have already passed.;;;;;;;;;;;;;x
EVTOPTA1972;Excellent;;;;;;;;;;;;;x
EVTNAME1973;New Constitution;;;;;;;;;;;;;x
