##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
#CAN;;;;;;;;;;;;;;x
EVTNAME144980;The Rise of Hawthorne;;;;;;;;;;;;;x
EVTDESC144980;Curtis Hawthorne, the son of American parents who fled to Canada during the labor unrest and depression of the 1930's. Born in British Columbia at the height of the Second World War, Curtis grew up with the rationing and general hardship that went along with supporting a massive war-effort in the name of the British Empire.\n\nAs a child he was generally reserved but was influenced by the seeds of radical socialism. He talks frequently about, how he as a child would occasionaly listen to radio broadcasts from the Eastern Front, talking of the bravery of the Soviet soldiers fighting desperately to save their homelands from the wild fascists of Germany.\n\nAt only 18 years of age, he decided to register as a member of the front party for the Communist Party of Canada but eventually he would drift from orthodox communism by embracing social change via democratic means. By the time he graduated from the University of British Columbia, he made a point to push for a role in the party apparatus in Vancouver for the left-wing radicals. An outspoken critic of colonialism, the local party made heavy use of Curtis' apparent distancing from orthodox communism as a selling point and after a tense race, the 1958 Mayoralty election for Vancouver ended in a stunning 7% victory for the seemingly unknown Hawthorne. Since then, his reputation as a honest politician has propelled him to high level politics.;;;;;;;;;;;;;x
EVTOPTA144980;Establish Personal Guards;;;;;;;;;;;;;x
EVTOPTB144980;O.K.;;;;;;;;;;;;;x
EVTNAME144981;Economic Investment;;;;;;;;;;;;;x
EVTDESC144981;With structural reforms being done and as a former Mayor of Vancouver, our Head of Government, Curtis Hawthorne has managed to save a lot of money by eliminating unnecessary transaction costs and freed up funds for local improvements in British Columbia. What should we aim for?;;;;;;;;;;;;;x
EVTOPTA144981;Invest in local Infrastructure;;;;;;;;;;;;;x
EVTOPTB144981;Keep the money;;;;;;;;;;;;;x
EVTNAME144982;Establish the Guards;;;;;;;;;;;;;x
EVTDESC144982;Socialist Guard 'Hawthorne' is an élite Canadian Army ceremonial and combat unit primarily tasked with the personal security of Curtis Hawthorne. The guard unit serves by providing detachments for escort, guards of honor for state visits, conferences and other official state affairs, acting as an official state bodyguard. Every man in the unit has been hand picked and is being trained not only to provide military protection but also to protect Hawthorne's actual person and to sacrifice his own life if needed.;;;;;;;;;;;;;x
EVTOPTA144982;Excellent;;;;;;;;;;;;;x
EVTNAME144983;Monument in your honor;;;;;;;;;;;;;x
