#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## INO ##;;;;;;;;;;;;;;x
demand_WPA_from_HOL_INO_title;The West Papua Question;;;;;;;;;;;;;x
demand_WPA_from_HOL_INO_desc;After more than a century of foreign rule, Indonesia is finally free and independent. Sadly, this is not true for every Indonesian because the people of West Papua still labor under the Dutch colonial yoke. Has the time has come to claim what is rightfully ours and demand that the Dutch hand over West Papua?;;;;;;;;;;;;;x
demand_WPA_INO_title;The West Papua Question;;;;;;;;;;;;;x
demand_WPA_INO_desc;After more than a century of foreign rule, Indonesia is finally free and independent. Sadly, our nation is not yet unified. Rather than handing over West Papua to us, the Dutch turned it into a state of its own. Has the time has come to claim what is rightfully ours and demand that West Papua joins Indonesia?;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## USA ##;;;;;;;;;;;;;;x
pressure_HOL_westpapua_USA_title;The Dutch, Indonesia, and the West Papuan Question;;;;;;;;;;;;;x
pressure_HOL_westpapua_USA_desc;Indonesia, a potential regional power in South-East Asia, is currently trying to obtain West Papua from the Netherlands. However, the Dutch, former Indonesian colonial overlords, have so far refused to give in and have maintained their authority over West Papua. Indonesia would be a valuable ally in the region, and alienating them by refusing to hand over West Papua could cause Indonesia to become an enemy of the United States. Perhaps we can put a little pressure on the Netherlands on behalf of Indonesia.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## HOL ##;;;;;;;;;;;;;;x
EVTNAME213000;Indonesia Demands Control Over West Papua;;;;;;;;;;;;;x
EVTDESC213000;When Indonesia became independent, not all of the Dutch East Indies was lost. West Papua, culturally distinct from Indonesia, remained under our control and continues to receive significant financial support. However, Indonesia considers West Papua to be part of its territory and demands that we hand it over. Doing so will save us some money but cost us influence in the region. Refusing to cede control will chill our relations with Indonesia, a potential ally. We could also take a different route and insist that West Papua become an autonomous region within Indonesia.;;;;;;;;;;;;;x
EVTOPTA213000;Hand it over;;;;;;;;;;;;;x
EVTOPTB213000;They can have it – but West Papua will be autonomous;;;;;;;;;;;;;x
EVTOPTC213000;West Papua will become an independent state instead;;;;;;;;;;;;;x
EVTOPTD213000;No, we will keep it;;;;;;;;;;;;;x
EVTNAME213001;West Papua – Pressure from the United States;;;;;;;;;;;;;x
EVTDESC213001;After the unsuccessful attempt by Indonesia to get their hands on West Papua, the United States has decided to intervene: the terms of its deal are that Indonesia will gain control of West Papua in exchange for military cooperation with the USA. If we agree to this deal, however, we will gain nothing but the goodwill of the Americans – but is that enough?;;;;;;;;;;;;;x
EVTOPTA213001;Alright, they can have it;;;;;;;;;;;;;x
EVTOPTB213001;Nooit!;;;;;;;;;;;;;x
EVTNAME213002;West Papua – Indoenisa Rejects the US Offer;;;;;;;;;;;;;x
