#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
mod_UN_women_and_children_in_war_declaration_failure_delay;UN Women & Children In War Declaration Delay;;;;;;;;;;;;;x
mod_UN_women_and_children_in_war_declaration;UN Women & Children In War Declaration;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
dec_UN_raise_women_and_children_in_war_declaration_title;The UN Women & Children In War Declaration;;;;;;;;;;;;;x
dec_UN_raise_women_and_children_in_war_declaration_desc;United Nations General Assembly Resolution 3318, The Declaration on the Protection of Women and Children in Emergency and Armed Conflict.;;;;;;;;;;;;;x
dec_UN_women_and_children_in_war_declaration_disable_voting_notifications_title;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
dec_UN_women_and_children_in_war_declaration_disable_voting_notifications_desc;Disable Current UN Voting Notifications;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
## UN Secretary General ##;;;;;;;;;;;;;;x
EVTNAME13100;The UN Women & Children In War Declaration;;;;;;;;;;;;;x
EVTDESC13100;United Nations General Assembly Resolution 3318, The Declaration on the Protection of Women and Children in Emergency and Armed Conflict, has been opened for voting.;;;;;;;;;;;;;x
EVTOPTA13100;Large Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTB13100;Small Diplomatic Investment.;;;;;;;;;;;;;x
EVTOPTC13100;No Diplomatic Investment.;;;;;;;;;;;;;x
EVTNAME13101;UN Voting Notifications;;;;;;;;;;;;;x
EVTDESC13101;Shall we receive notifications when nations decide their vote on the current UN Resolution undergoing a vote?\nThese can be turned off at any time by an international decision.;;;;;;;;;;;;;x
EVTOPTA13101;Receive Notifications.;;;;;;;;;;;;;x
EVTOPTB13101;No Notifications.;;;;;;;;;;;;;x
EVTNAME13102;Women & Children In War Declaration Fails Vote;;;;;;;;;;;;;x
EVTDESC13102;United Nations General Assembly Resolution 3318, The Declaration on the Protection of Women and Children in Emergency and Armed Conflict, has been defeated by vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA13102;Unfortunate;;;;;;;;;;;;;x
EVTNAME13103;Women & Children In War Declaration Passes Vote;;;;;;;;;;;;;x
EVTDESC13103;United Nations General Assembly Resolution 3318, The Declaration on the Protection of Women and Children in Emergency and Armed Conflict, has passed its vote in the United Nations General Assembly.;;;;;;;;;;;;;x
EVTOPTA13103;Excellent;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
## Global ##;;;;;;;;;;;;;;x
EVTNAME13110;UN Vote on Women & Children In War Declaration;;;;;;;;;;;;;x
EVTDESC13110;We have the opportunity to vote on United Nations General Assembly Resolution 3318, The Declaration on the Protection of Women and Children in Emergency and Armed Conflict.\nWe can either vote For it, Abstain, or vote Against it.;;;;;;;;;;;;;x
EVTOPTA13110;§GVote For;;;;;;;;;;;;;x
EVTOPTB13110;Abstain;;;;;;;;;;;;;x
EVTOPTC13110;§RVote Against;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
