#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
EVTNAME800001;A necessary response;;;;;;;;;;;;;x
EVTDESC800001;A military alliance of nations opposing the Soviet Union thread is needed;;;;;;;;;;;;;x
EVTOPTA800001;Agreed;;;;;;;;;;;;;x
EVTNAME800002;NATO;;;;;;;;;;;;;x
EVTDESC800002;On this day we decided to unite against the red threat;;;;;;;;;;;;;x
EVTOPTA800002;So be it;;;;;;;;;;;;;x
EVTNAME800011;A necessary response;;;;;;;;;;;;;x
EVTDESC800011;A military alliance of nations opposing NATO is needed;;;;;;;;;;;;;x
EVTOPTA800011;Agreed;;;;;;;;;;;;;x
EVTNAME800012;Warsaw Pact;;;;;;;;;;;;;x
EVTDESC800012;On this day we decided to unite against the western threat;;;;;;;;;;;;;x
EVTOPTA800012;So be it;;;;;;;;;;;;;x
EVTNAME800021;A necessary response;;;;;;;;;;;;;x
EVTDESC800021;A military alliance of nations to strenghten Europe is needed;;;;;;;;;;;;;x
EVTOPTA800021;Agreed;;;;;;;;;;;;;x
EVTNAME800022;Western European Union;;;;;;;;;;;;;x
EVTDESC800022;On this day we decided to unite as Western European Union;;;;;;;;;;;;;x
EVTOPTA800022;So be it;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
